Xpos	Ypos
1592	3256
1584	3241
1613	3230
1653	3190
1695	3151
1714	3108
1664	3087
1622	3092
1569	3100
1551	3080
1572	3049
1584	3073
1538	2996
1546	3002
1553	2986
1586	2963
1633	2962
1644	2979
1667	2986
1683	3003
1681	2973
1671	2952
1734	2957
1765	2950
1764	2925
1761	2894
1732	2858
1706	2850
1682	2846
1656	2864
1637	2857
1627	2850
1641	2813
1664	2770
1688	2798
1821	2969
1827	2992
1828	3012
1817	3034
1798	3058
1792	3042
1812	3014
1820	3002
1829	3007
1791	3013
1775	3024
1752	3067
1734	3093
1708	3116
1698	3157
1677	3180
1637	3196
1614	3086
1581	3087
1559	3098
1553	3085
1552	3052
1536	3025
1611	2974
1675	2952
1679	2993
1662	2981
1735	2962
1723	2961
1769	2914
1750	2873
1646	2843
1626	2842
1640	2862
1660	2867
1765	2926
1814	2992
1799	3036
1791	3051
1775	3059
1755	3069
