map_ID	nPosX	nPosY
80	1749	3274
80	1755	3268
80	1754	3280
80	1761	3276
80	1763	3288
80	1770	3284
80	1772	3296
80	1768	3307
80	1769	3317
80	1761	3323
80	1766	3333
80	1759	3341
80	1763	3354
80	1770	3363
80	1773	3373
80	1784	3377
80	1791	3385
80	1792	3371
80	1789	3363
80	1797	3357
80	1800	3349
80	1801	3338
80	1793	3330
80	1791	3324
80	1794	3312
80	1790	3310
80	1793	3296
80	1789	3291
80	1802	3296
80	1787	3284
80	1780	3280
80	1774	3275
80	1782	3268
80	1788	3263
80	1786	3255
80	1792	3246
80	1801	3248
80	1807	3238
80	1811	3249
80	1809	3343
80	1816	3348
80	1826	3354
80	1831	3341
80	1831	3323
80	1833	3309
80	1825	3294
80	1814	3282
80	1811	3266
80	1826	3222
80	1806	3260
80	1562	3252
80	1557	3259
80	1546	3258
80	1553	3268
80	1550	3282
80	1550	3291
80	1555	3301
80	1544	3308
80	1555	3308
80	1562	3303
80	1570	3306
80	1562	3315
80	1567	3322
80	1578	3302
80	1585	3295
80	1593	3306
80	1595	3317
80	1601	3314
80	1595	3331
80	1595	3344
80	1589	3354
80	1591	3365
80	1582	3361
80	1574	3359
80	1564	3352
80	1562	3360
80	1563	3339
80	1538	3314
80	1530	3319
80	1532	3329
80	1532	3340
80	1535	3355
80	1541	3361
80	1546	3370
80	1555	3367
80	1546	3380
80	1560	3377
80	1562	3391
80	1543	3387
80	1539	3395
80	1525	3305
80	1518	3302
80	1521	3287
80	1522	3268
80	1527	3264
80	1538	3258
80	1517	3254
80	1511	3247
80	1503	3253
80	1497	3261
