TRAPX	TRAPY
64800	112192
64800	112608
64800	112576
64800	112544
64800	112512
64800	112480
64800	112448
64800	112416
64800	112384
64800	112352
64800	112320
64800	112288
64800	112256
64800	112224
64768	112608
64768	112576
64768	112544
64768	112512
64768	112480
64768	112448
64768	112416
64768	112384
64768	112352
64800	113600
64800	113568
64800	113568
64800	113536
64800	113504
64800	113472
64800	113376
64800	113440
64800	113408
64800	113344
64800	113312
64800	113280
64800	113248
64800	113216
64800	113184
64800	113152
64800	113120
64800	113088
64800	113056
64800	113024
64800	112960
64800	112992
64800	112928
64800	112896
64800	112864
64800	112832
64800	112800
64800	112768
64800	112736
64800	112704
64800	112672
64800	112640
64768	113568
64768	113536
64768	113504
64768	113472
64768	113440
64768	113408
64768	113376
64768	113344
64768	113312
64768	113280
64768	113248
64768	113216
64768	113184
64768	113152
64768	113120
64768	113088
64768	113056
64768	113024
64768	112992
64768	112960
64768	112928
64768	112896
64768	112864
64768	112832
64768	112800
64768	112768
64768	112736
64768	112704
64768	112672
64768	112640
