TRAPX	TRAPY
58400	84736
58464	84672
58464	84800
58528	84608
58528	84736
58528	84864
58592	84544
58592	84672
58592	84800
58592	84928
58656	84480
58656	84608
58656	84736
58656	84864
58656	84992
58688	84224
58720	84544
58720	84672
58720	84800
58720	84928
58752	84160
58752	84288
58784	84608
58784	84736
58784	84864
58784	85088
58816	84096
58816	84224
58816	84352
58848	84672
58848	84800
58848	85024
58848	85152
58880	84032
58880	84160
58880	84288
58880	84416
58912	84736
58912	84960
58912	85088
58912	85216
58944	83968
58944	84096
58944	84224
58944	84352
58944	84480
58976	84896
58976	85024
58976	85152
58976	85280
59008	84032
59008	84160
59008	84288
59008	84416
59040	83712
59040	84832
59040	84960
59040	85088
59040	85216
59040	85344
59072	84096
59072	84224
59072	84352
59072	84608
59104	83648
59104	83776
59104	84896
59104	85024
59104	85152
59104	85280
59136	84160
59136	84288
59136	84544
59136	84672
59168	83552
59168	83712
59168	83840
59168	84960
59168	85088
59168	85216
59200	84224
59200	84480
59200	84608
59200	84736
59232	83456
59232	83616
59232	83776
59232	83904
59232	85024
59232	85152
59264	84416
59264	84544
59264	84672
59264	84800
59296	83360
59296	83520
59296	83680
59296	83840
59296	83968
59296	85088
59328	84352
59328	84480
59328	84608
59328	84736
59328	84864
59360	83424
59360	83584
59360	83776
59360	83904
59392	84416
59392	84544
59392	84672
59392	84800
59424	83488
59424	83648
59424	83840
59456	84064
59456	84480
59456	84608
59456	84736
59488	83552
59488	83712
59520	84000
59520	84128
59520	84544
59520	84672
59552	83616
59584	83936
59584	84064
59584	84192
59584	84608
59648	83840
59648	84000
59648	84128
59648	84256
59712	83744
59712	83904
59712	84064
59712	84192
59712	84320
59776	83808
59776	83968
59776	84128
59776	84256
59840	83872
59840	84032
59840	84192
59904	83936
59904	84096
59968	84000
