TRAPX	TRAPY
53472	97152
53472	97184
53504	97152
53504	97184
53504	97216
53536	97184
53536	97216
53536	97248
53568	97216
53568	97248
53568	97280
53600	97248
53600	97280
53600	97312
53632	97280
53632	97312
53632	97344
53664	97312
53664	97344
53664	97376
53696	97344
53696	97376
53696	97408
53728	97376
53728	97408
53728	97440
53760	97408
53760	97440
53760	97472
53792	97440
53792	97472
53792	97504
53824	97472
53824	97504
53824	97536
53856	97504
53856	97536
53856	97568
53888	97536
53888	97568
53888	97600
53920	97568
53920	97600
53920	97632
53952	97600
53952	97632
53952	97664
53984	97632
53984	97664
54016	97664
54016	97696
