Xpos	Ypos
59968	100032
60000	100032
60032	100032
59968	100064
60000	100064
60032	100064
60064	100064
59968	100096
60000	100096
60032	100096
60064	100096
60096	100096
59968	100128
60000	100128
60032	100128
60064	100128
60096	100128
60000	100160
60032	100160
60064	100160
60096	100160
60128	100160
60032	100192
60064	100192
60096	100192
60128	100192
60160	100192
60064	100224
60096	100224
60128	100224
60160	100224
60192	100224
60096	100256
60128	100256
60160	100256
60192	100256
60224	100256
60128	100288
60160	100288
60192	100288
60224	100288
60160	100320
60192	100320
60224	100320
60256	100320
50656	100704
50624	100736
50656	100736
50624	100768
50656	100768
50592	100800
50624	100800
50656	100800
50592	100832
50624	100832
50656	100832
50560	100864
50592	100864
50624	100864
50560	100896
50592	100896
50912	100352
50880	100384
50912	100384
50944	100384
50848	100416
50880	100416
50912	100416
50944	100416
50816	100448
50848	100448
50880	100448
50912	100448
50784	100480
50816	100480
50848	100480
50880	100480
50784	100512
50816	100512
50848	100512
50880	100512
50752	100544
50784	100544
50816	100544
50848	100544
50720	100576
50752	100576
50784	100576
50816	100576
50720	100608
50752	100608
50784	100608
50688	100640
50720	100640
50752	100640
50688	100672
50720	100672
50688	100704
50720	100704
50688	100736
50688	100768
60192	100352
60224	100352
60256	100352
60288	100352
60224	100384
60256	100384
60288	100384
60256	100416
60288	100416
60320	100416
60288	100448
60320	100448
60352	100448
60320	100480
60352	100480
60352	100512
60384	100512
60352	100544
60384	100544
60384	100576
50112	119456
50144	119456
50112	119488
50144	119488
50144	119520
50176	119488
50176	119520
50208	119520
50176	119552
50208	119552
50240	119552
50208	119584
50240	119584
50240	119616
50272	119616
50240	119648
50272	119648
50304	119648
50272	119680
50304	119680
50336	119680
50272	119712
50304	119712
50336	119712
50368	119712
50304	119744
50336	119744
50368	119744
50400	119744
50336	119776
50368	119776
50400	119776
59872	119616
59840	119648
59872	119648
59808	119680
59840	119680
59872	119680
59776	119712
59808	119712
59840	119712
59872	119712
59776	119744
59808	119744
59840	119744
59872	119744
59776	119776
59808	119776
59840	119776
60256	119136
60224	119168
60256	119168
60192	119200
60224	119200
60160	119232
60192	119232
60224	119232
60128	119264
60160	119264
60192	119264
60096	119296
60128	119296
60160	119296
60192	119296
60064	119328
60096	119328
60128	119328
60160	119328
60032	119360
60064	119360
60096	119360
60128	119360
60032	119392
60064	119392
60096	119392
60000	119424
60032	119424
60064	119424
60096	119424
60000	119456
60032	119456
60064	119456
59968	119488
60000	119488
60032	119488
60064	119488
59968	119520
60000	119520
60032	119520
59936	119552
59968	119552
60000	119552
59904	119584
59936	119584
59968	119584
60000	119584
59904	119616
59936	119616
59968	119616
59904	119648
59936	119648
59968	119648
59904	119680
59936	119680
59904	119712
50336	119808
50368	119808
50400	119808
50432	119808
50368	119840
50400	119840
50432	119840
50368	119872
50400	119872
50432	119872
50464	119872
50400	119904
50432	119904
50464	119904
50496	119904
50432	119936
50464	119936
50496	119936
50464	119968
50496	119968
50528	119968
50496	120000
50528	120000
50528	120032
50560	120032
50560	120064
50592	120064
50592	120096
59776	119808
59808	119808
59840	119808
59776	119840
59808	119840
