POSX	POSY
44544	85920
44576	85088
44576	86080
44640	84832
44640	86208
44704	84608
44800	84448
44800	86432
44896	84352
44896	85472
44896	85600
44896	86560
44928	85344
44960	85472
44960	86592
44992	85632
45024	85376
45056	85504
45120	85984
45184	84928
45184	85056
45184	85184
45184	85440
45184	85504
45184	85568
45184	85856
45184	86048
45248	85440
45248	85504
45248	85568
45248	85984
45280	85056
45312	85440
45312	85504
45312	85568
45312	85856
45312	86080
45344	84928
45344	85184
45376	85056
45376	85984
45376	86592
45472	84288
45472	85408
45472	85600
45504	86496
45536	85312
45536	85504
45536	85696
45568	84352
45600	85408
45600	85600
45632	86400
45664	84448
45728	86400
45760	84576
45792	86240
45824	84768
45856	84896
45856	86016
45888	85056
45888	85280
