TRAPX	TRAPY
57280	110528
57248	110528
57312	110528
57312	110560
57280	110560
57280	110560
57280	110560
57248	110560
57248	110592
57312	110592
57280	110592
57280	110624
57280	110688
57280	110720
57280	110720
57248	110688
57248	110624
57248	110656
57248	110592
57216	110624
57216	110592
57216	110656
57216	110688
57248	110720
57216	110720
57312	110656
57312	110624
57312	110688
57312	110624
57280	110656
57312	110720
57344	110528
57344	110560
57344	110592
57376	110688
57344	110688
57344	110624
57344	110624
57344	110720
57408	110656
57344	110624
57344	110656
57376	110656
57376	110624
57376	110592
