TRAPX	TRAPY
41408	103264
41856	104256
42880	104352
42816	105280
42944	105536
43424	101152
43040	103520
43712	102144
43552	103616
44352	105952
44096	106656
44992	99712
44864	100960
44864	102144
44576	104928
44704	104992
45536	104832
45536	105824
45312	106720
45056	107520
46016	98848
45696	102400
46272	99008
46272	98368
46368	98336
46240	103296
46400	106688
46304	107680
46976	99040
47040	99936
47008	103808
46816	105984
47392	105504
47328	107648
47296	109952
47840	100288
47904	102688
47840	104800
48032	107136
47712	109120
47936	110464
48160	97568
48448	101024
48512	106496
48384	108608
48832	96960
48864	101760
48928	110336
49120	111680
49184	102624
49632	106368
49152	108352
49760	96000
49792	98304
49952	99392
49920	100672
49920	104320
49728	105312
49696	109952
49952	111456
50176	96800
50272	97952
50592	98816
50368	101440
50240	112768
51072	94784
51040	99616
51008	112480
51232	94176
51456	96640
51584	97920
51648	101600
51392	102496
51520	103840
51584	106080
51680	107264
51520	108512
51552	109632
51424	113920
52096	94880
52160	96224
52032	100736
52128	106368
51744	111648
52384	97664
52704	98912
52224	99552
52224	104928
52416	108704
52448	113824
53152	106592
53216	112288
53248	101728
53536	109728
53696	114208
54080	100448
54240	104128
54240	105184
53824	107200
53824	108320
54080	110336
54336	98208
54592	99808
54624	103296
54464	108832
54336	111264
54592	112128
54400	113504
54944	97728
55520	101920
55424	105440
55712	109824
55584	112288
56288	101408
56064	107200
56096	108320
56160	111680
56544	102944
56768	105280
57024	100096
57152	101280
57440	106976
57600	109152
57856	102144
58336	103392
57856	107744
58560	104992
58432	106016
58720	107936
58688	109184
59392	102368
59392	103488
59520	107296
59680	108096
60320	105376
60448	104576
60832	107008
61216	103968
61056	105952
61920	104800
61664	105696
