TRAPX	TRAPY
50016	102848
49984	102848
49952	102848
49920	102848
49888	102848
49856	102848
49824	102848
49792	102848
49760	102848
49728	102848
49856	102848
49824	102848
49792	102848
49760	102848
49728	102848
50048	102848
50080	102848
50112	102848
50144	102848
49696	102848
49728	102912
49728	102880
49760	102880
49792	102880
49824	102880
49856	102880
49888	102880
49920	102880
49952	102880
49984	102880
50016	102880
50048	102880
50080	102880
50112	102880
50144	102880
50496	102848
50464	102848
50432	102848
50400	102848
50368	102848
50176	102848
50208	102848
50240	102848
50272	102848
50304	102848
50336	102848
50528	102848
50560	102848
50592	102848
50624	102848
50656	102848
50176	102880
50208	102880
50240	102880
50272	102880
50304	102880
50336	102880
50368	102880
50400	102880
50432	102880
50464	102880
50496	102880
50528	102880
50560	102880
50592	102880
50624	102880
50656	102880
50752	101344
50752	101312
50752	101280
50752	101248
50720	101248
50720	101280
50720	101312
50720	101344
50752	101376
50752	101408
50752	101440
50752	101472
50752	101504
50752	101536
50752	101568
50752	101600
50752	101632
50752	101664
50752	101696
50752	101760
50752	101792
50752	101824
50752	101856
50752	101888
50752	101920
50752	101952
50752	101984
50752	102016
50752	102048
50752	102080
50752	102112
50752	102144
50752	102176
50752	102208
50752	102240
50752	102272
50752	102304
50752	102336
50752	102368
50720	101376
50720	101408
50720	101440
50720	101504
50720	101472
50720	101536
50720	101568
50720	101600
50720	101600
50720	101632
50720	101664
50720	101696
50720	101728
50720	101760
50720	101792
50720	101824
50720	101856
50720	101888
50720	101920
50720	101952
50720	101984
50720	102016
50720	102048
50720	102080
50720	102112
50720	102144
50720	102176
50720	102208
50720	102240
50720	102272
50720	102304
50720	102336
50720	102368
50752	101728
50752	102400
50752	102432
50752	102464
50752	102496
50752	102528
50752	102560
50752	102592
50752	102624
50752	102656
50752	102688
50752	102720
50752	102752
50752	102784
50752	102816
50752	102848
50688	102848
50720	102848
50688	102880
50720	102880
50752	102880
50720	102400
50720	102432
50720	102464
50720	102496
50720	102528
50720	102560
50720	102592
50720	102624
50720	102656
50720	102688
50720	102720
50720	102752
50720	102784
50720	102816
