TRAPX	TRAPY
43840	114432
43872	114432
43872	114400
43840	114464
43808	114464
43808	114496
43776	114496
43776	114528
43744	114528
43904	114368
43904	114400
43936	114336
43936	114368
44000	114304
43968	114304
43968	114336
44000	114272
43776	114560
43808	114528
43840	114496
43872	114464
43904	114432
43936	114400
43968	114368
44000	114336
43744	114560
44032	114272
44064	114240
44032	114240
44096	114208
44064	114208
44128	114176
44096	114176
44128	114144
44160	114144
44192	114112
44160	114112
44192	114080
44256	114048
44224	114048
44224	114080
44032	114304
44064	114272
44096	114240
44128	114208
44160	114176
44192	114144
44224	114112
44256	114080
