TRAPX	TRAPY
43680	110304
43680	110336
43648	110336
43680	110368
43712	110368
43712	110336
43744	110368
43712	110400
43744	110400
43776	110432
43744	110432
43776	110464
43776	110400
43808	110432
43808	110464
43840	110464
43808	110496
43840	110496
43840	110528
43872	110528
43872	110496
43872	110560
43904	110528
43904	110560
43936	110560
43936	110592
43904	110592
43936	110624
43968	110592
43968	110624
43968	110656
44000	110656
44000	110624
44000	110688
44032	110656
44032	110688
44064	110688
44064	110720
44032	110720
44096	110720
44096	110752
44064	110752
