TRAPX	TRAPY
40352	110560
40384	110560
40384	110528
40416	110528
40416	110560
40416	110496
40160	110752
40160	110784
40192	110784
40160	110752
40224	110752
40192	110752
40192	110720
40224	110720
40256	110720
40224	110688
40256	110688
40288	110688
40288	110656
40256	110656
40288	110624
40320	110656
40320	110624
40320	110592
40352	110592
40352	110624
40384	110592
40128	110784
40128	110816
40128	110848
40128	110784
40448	110528
40448	110496
40480	110496
40480	110464
40448	110464
40480	110432
40512	110464
40512	110400
40544	110432
40512	110432
40544	110400
40544	110368
40576	110368
40576	110400
40576	110336
40608	110336
40608	110368
