TRAPX	TRAPY
57504	111776
57536	111776
57536	111808
57568	111808
57568	111840
57504	111744
57504	111712
57536	111744
57568	111776
57600	111808
57600	111840
57600	111872
57632	111872
57632	111904
57632	111840
57664	111872
57664	111904
57664	111936
57696	111904
57696	111936
57696	111968
57728	111936
57728	111968
57728	112000
57760	111968
57760	112000
57760	112032
57792	112000
57792	112032
57792	112064
57824	112032
57824	112064
57824	112096
57472	111744
57472	111776
57504	111808
57856	112064
57856	112096
57856	112128
