TRAPX	TRAPY
58176	114496
58176	114464
58176	114528
58176	114560
58176	114592
58176	114624
58176	114656
58144	114624
58144	114656
58144	114592
58112	114624
58112	114656
58144	114560
58144	114528
58144	114496
58144	114464
58176	114432
58144	114432
58176	114400
58176	114688
58176	114720
58176	114752
58144	114720
58144	114752
58144	114688
58144	114784
58144	114816
58144	114848
58144	114880
58144	114912
58112	114880
58112	114848
58112	114784
58112	114816
58112	114752
58112	114688
58112	114720
58112	114912
58112	114944
58112	114976
58176	114784
58176	114816
58144	114944
