TRAPX	TRAPY
52192	112704
52192	112672
52192	112736
52192	112768
52192	112800
52192	112832
52192	112864
52192	112896
52192	112928
52192	112960
52192	112992
52192	113024
52192	113056
52192	113088
52192	113120
52192	113152
52192	113184
52192	113216
52192	113248
52192	113280
52192	113312
52224	112672
52224	112704
52224	112736
52224	112768
52224	112800
52224	112832
52224	112864
52224	112896
52224	112960
52224	112928
52224	112992
52224	113024
52224	113056
52224	113088
52224	113088
52224	113120
52224	113152
52224	113184
52224	113216
52224	113248
52224	113280
52224	113312
