TRAPX	TRAPY
56704	105440
56800	105440
56672	105312
56800	105312
56736	105344
56640	105408
56704	105184
56800	105728
56672	105792
56640	105632
56736	105568
56768	105856
56768	106016
56640	105504
56544	105632
56608	105728
56704	105664
56736	105760
56800	106112
56576	105568
56800	105632
56768	106176
56896	105376
56864	105984
56864	105824
56864	105696
56832	105568
56832	106176
56928	106144
56992	106240
57056	106144
56992	106048
56960	105888
56928	105760
56928	105568
56832	105920
56864	106080
56928	106240
56928	105984
56928	105664
56896	105472
57056	106240
57120	106176
57024	105920
56992	105824
56992	105696
56992	105600
56864	105632
56960	105504
57056	105792
