TRAPX	TRAPY
60896	116672
60896	116448
60832	116576
60832	116672
60768	116672
60800	116480
60832	116384
60736	116576
60704	116672
60736	116448
60768	116352
60800	116256
60704	116288
60672	116416
60864	117344
60832	117408
60768	117472
60768	117408
60800	117280
60736	117312
60704	117408
60832	117184
60736	117184
60672	117280
60640	117376
60608	117248
60672	117152
60736	117056
60800	117120
60832	117024
60768	116960
60672	116992
60640	117120
60736	116832
60832	116896
60896	116960
60640	116896
60832	116768
60672	116768
60896	117088
60896	116768
60768	116736
60960	116704
60992	116608
60928	116576
60960	117024
61024	116960
60992	116896
60928	116864
60992	116768
