TRAPX	TRAPY
51168	114528
51104	114816
51136	114944
51168	115072
51136	115168
51168	114784
51040	114752
51072	114880
51168	114688
51200	114624
51264	114560
51200	114432
51232	114336
51232	114240
51264	114464
51296	114368
51296	114240
51328	114464
51328	114560
51360	114656
51392	114560
51392	114432
51360	114368
51360	114272
51360	114144
51424	114240
51200	115232
51232	115168
51232	115040
51200	114912
51232	114720
51232	114816
51264	114944
51296	115104
51296	115264
51296	114848
51296	114688
51392	114752
51392	114880
51328	115008
51360	115136
51360	115232
51424	115136
51424	115040
51456	114912
51328	114784
51328	114912
51392	114976
51360	115072
51392	115296
51424	115232
