TRAPX	TRAPY
37312	88032
37184	88768
37152	88384
37696	81792
37568	82528
37824	82624
37536	82144
37856	85376
37856	87232
37440	88864
37568	88224
37632	88640
37824	89728
37792	96864
37856	97248
37760	99264
37632	98432
37440	98752
37504	99136
37728	100576
37760	100960
38304	80192
38144	80512
38176	80896
37952	81984
38016	82400
38176	83456
37984	83808
38048	84192
38304	84288
37920	85728
38176	85856
38048	85024
38304	85184
38336	85632
38016	86880
37920	87616
38144	87712
38272	87072
38336	87488
38016	89376
38272	89568
38304	89984
37888	90112
38112	90208
38240	92032
38336	91296
38176	91648
38240	94848
38080	95200
38112	95584
38368	95680
38240	96704
37984	96544
38304	97120
38112	97376
37888	98592
37920	99008
37888	100256
38144	100416
38208	100864
38016	101088
38656	79552
38784	78848
38592	79168
38560	80352
38624	80768
38848	81408
38688	81760
38432	81024
38720	82144
38432	83648
38464	84064
38816	85440
38752	85056
38656	86944
38752	86240
38592	86560
38880	87072
38528	88832
38752	88928
38656	88096
38464	88448
38816	90752
38752	90368
38464	92128
38592	91488
38656	91904
38656	92832
38528	93568
38784	93664
38496	93184
38496	95040
38848	94592
38560	95456
38880	96256
38784	97472
38624	97824
38656	98208
38720	99168
38816	100000
38528	99520
38592	99904
38912	79680
39040	79008
39072	79424
39168	80768
39392	80896
39296	80064
39104	80384
39104	81568
38976	82240
39168	82016
38944	84736
39200	84896
39040	85568
39232	85344
39008	86400
39072	86816
39296	87840
39232	87456
38912	88288
38944	88704
38944	90016
39072	90848
39200	90208
39232	90624
39264	92128
39360	91424
39200	91744
38912	93024
38976	93440
38912	94976
39168	95072
39040	94240
39296	94432
39360	94848
39072	95904
39328	96096
38944	96640
39168	96736
39360	96512
39040	97664
39104	98080
38912	98304
38976	99360
39008	99776
39904	75296
39872	76640
39744	77344
39680	76960
39712	78240
39520	78592
39584	78976
39808	79072
39520	80224
39584	80640
39840	81760
39904	82144
39808	83936
39744	83552
39840	85504
39680	85856
39712	86240
39520	87936
39424	87104
39680	87296
39712	87712
39648	88832
39904	89024
39520	89568
39744	89664
39456	89184
39904	90496
39616	91584
39680	92000
39488	92256
39648	93984
39872	94112
39776	93280
39584	93600
39904	96928
39840	96544
39680	97728
39488	98080
39904	97920
39616	99200
39552	98464
39776	98560
39872	99360
39744	100032
39456	99552
39488	99904
39968	75680
40064	74944
40320	75104
40384	75552
40192	75776
39968	77472
40128	76800
40160	77216
39968	78432
40416	78304
40384	77920
40192	79552
40000	78848
40096	80288
40320	80384
40032	79904
40000	81408
40256	81568
40128	82240
40320	82016
39936	83200
40192	83392
40224	83808
40256	84960
40352	84256
40192	84576
40032	84032
40096	85696
39968	86336
40160	86112
40320	87808
40192	88512
40416	88640
40128	88128
39936	89440
39968	90848
40192	90976
40096	90144
40352	90304
40384	90752
40032	93440
40064	93888
40032	96224
40160	97056
40288	96384
40320	96800
40352	99040
39968	98336
39936	99808
40416	99392
40832	76480
40768	76096
40544	77600
40800	77760
40672	78432
40864	78176
40448	79744
40928	80576
40512	80160
40800	81280
40736	80928
40608	82240
40448	82592
40864	82432
40928	82848
40512	82976
40736	83072
40608	84416
40672	84832
40480	85088
40768	86848
40896	86144
40704	86464
40576	87968
40864	89024
40608	88384
40736	89760
40672	89376
40768	91936
40896	91232
40736	91552
40640	94112
40768	93376
40608	93728
40896	94208
40640	98080
40896	98208
40768	97376
40608	97696
40768	98848
40832	99296
40512	98688
40640	99520
41056	76608
40960	75776
41216	75936
41248	76352
41024	79584
41280	79680
41152	78848
40960	79200
41408	79008
41184	80736
41024	81408
41216	81184
40992	86976
41152	86304
41184	86752
40960	89856
41120	89216
41152	89632
41024	92064
41152	91392
41216	91808
41024	93536
41088	93984
41152	95328
41376	95520
41248	96192
41440	95968
40992	96064
40960	95648
41408	97088
41024	97536
41088	97952
41440	97536
41312	99264
41408	98528
41248	98880
41952	76096
41792	76384
41824	76800
41888	78560
41824	78176
41472	79456
41920	80544
41824	81280
41760	80896
41792	93632
41600	93920
41888	94464
41664	94368
41600	96800
41824	96992
41696	97632
41888	97408
41664	98720
41728	99136
41536	99360
41920	100160
42208	76256
42240	76672
42080	76928
42112	78688
41984	77856
42240	78016
42304	78432
42016	79808
42144	79072
41984	79424
42400	79264
42464	79680
42176	80736
42272	79904
42048	81376
42240	81152
42048	93824
42080	94240
42208	95328
42464	95488
42304	96160
42080	96064
42016	95616
42400	98048
42272	98784
42208	98336
42112	99872
42368	100032
42208	100704
42400	100480
41984	100576
42880	76576
42752	77280
42688	76896
42848	78560
42912	78944
43008	79584
42880	80288
42816	79936
42976	81440
42816	81792
42880	82176
42880	93568
42688	93856
42976	94432
42720	94304
42496	95936
42976	95360
42912	96608
42720	96896
42624	98240
42752	97344
42496	98880
42688	98656
42944	99840
42880	99424
43136	76736
43008	77408
43168	77152
43040	78208
43296	78400
43328	78816
43168	79040
43232	79744
43104	80416
43296	80192
43232	81600
43104	82272
43296	82048
43424	82816
43296	83552
43232	83168
43104	93760
43168	94176
43168	95040
43392	95232
43264	95904
43456	95680
43040	95776
43136	96800
43200	97216
43008	97472
43072	99104
43296	99296
43168	99968
43360	99712
43808	75520
43680	76224
43616	75840
43936	76352
43808	77056
43680	77792
43648	77408
43936	77888
43840	78944
43712	79648
43680	79264
43968	79776
43904	81088
43776	81824
43744	81440
43680	83008
43520	83648
43712	83424
43904	93568
43712	93856
44000	94400
43776	94304
44000	96000
43936	95584
43936	96896
43744	97184
43808	97632
43904	100160
44000	100992
43776	100896
43712	100448
44064	75680
44096	76128
44064	77248
44128	77664
44512	77312
44096	79104
44160	79520
44544	80192
44160	81280
44224	81696
44032	81920
44160	93760
44192	94176
44128	95296
44384	95456
44224	96128
44416	95904
44192	97088
44032	97728
44224	97504
44128	100352
44192	100768
44672	76960
44928	77152
44544	77696
44800	77792
44992	77568
44992	78464
44800	78784
44864	79168
44704	79872
44960	80032
44576	80576
44832	80704
45024	80480
44928	93920
45024	94752
44768	94624
44736	94208
44960	97056
44992	97472
45408	76064
45248	76416
45280	76800
45536	76896
45248	78624
45088	79296
45280	79072
45536	80960
45408	81696
45344	81312
45152	94080
45184	94528
45408	95936
45376	95520
45152	96736
45376	96928
45248	97600
45440	97376
45472	99744
45280	100064
45312	100480
45664	76256
45728	76672
46016	77216
45824	77536
45888	77920
45952	79008
45824	79744
45760	79360
46048	79840
45792	81152
45632	81792
45824	81568
45984	83648
45920	83264
46048	84832
45952	85536
45888	85152
45760	93664
45568	93952
46016	93856
45568	95200
45856	94496
45632	94400
46048	94272
45792	95392
45664	96064
45824	95840
45920	96768
45984	97216
45696	99936
45568	100608
45760	100384
46272	77376
46304	77792
46112	78048
46208	79200
46240	79616
46432	80416
46272	80768
46336	81120
46560	81248
46112	82912
46368	83104
46400	83520
46240	83744
46336	84992
46368	85408
46176	85664
46464	94944
46496	95360
46112	96480
46368	96672
46400	97088
46208	97344
46336	99968
46144	100256
46432	100800
46208	100704
46784	76288
47040	76480
46624	76640
46688	77024
46912	77120
46944	77600
46816	78336
46752	77952
47040	78432
46976	79296
46784	79616
46688	80576
46848	80000
47072	80128
46752	81024
46912	82144
46976	82528
47072	85824
47040	87680
46880	87936
46912	88384
47072	90592
47008	90176
46656	94624
46880	94816
46752	95488
46944	95264
47040	96096
46848	96384
46912	96832
46592	100160
46976	100960
46784	101280
46624	100576
47072	101824
46848	101696
47488	75328
47296	75680
47360	76064
47616	76160
47104	76896
47200	77792
47584	77216
47232	78208
47552	78784
47232	79456
47616	79168
47264	79872
47424	80704
47488	81088
47104	81792
47200	82624
47328	81952
47392	82400
47360	83648
47456	84480
47168	84000
47232	84384
47488	85728
47232	85536
47360	86368
47552	86144
47104	86272
47296	87840
47584	88736
47168	88512
47360	88256
47456	90048
47200	89888
47296	90720
47488	90496
47552	91520
47392	91776
47424	92224
47456	93312
47264	93600
47552	94144
47328	94048
47136	96928
47296	96288
47328	96704
47232	101152
47264	101568
47968	74624
48096	73888
47904	74176
47744	75520
47776	75936
47776	76864
48032	77024
47648	77600
47904	77696
48064	77472
47712	78432
47968	78624
47840	79264
48032	79040
47616	80384
47872	80544
47712	81216
47904	80992
47616	83840
47648	84256
48064	84768
47936	85472
47904	85024
48032	86624
48064	87072
48032	88640
48064	89056
47776	88448
47872	89280
47648	89184
47808	91680
47872	92096
47680	92352
