Ñ¨Î»Ãû³Æ	ËùÊô¾­ÂöID	Ñ¨Î»ID£¨Í¬Ê±Ò²ÊÇµÈ¼¶£©	Ê§°Ü»ØÍËµ½¼¸¼¶	³É¹¦¸ÅÂÊ£¨¸ÅÂÊ»ùÊý10000£©	ËµÃ÷ÎÄ×Ö	Ä§·¨ÊôÐÔID_1	Ä§·¨ÊôÐÔID_2	Ä§·¨ÊôÐÔID_3	ÏûºÄÕæÔªÊýÁ¿	ÏûºÄ»¤Âöµ¤ÊýÁ¿
Thõa KhÊp	1	1	0	9000	ViÖc nµy. ta cßn ph¶i vÒ suy nghÜ l¹i 	2897	0	0	2000	1000
Thõa T­¬ng	1	2	0	8800	Néi c«ng	2905	0	0	1600	800
Liªm TuyÒn	1	3	1	8600	Th©n ph¸p	2914	0	0	1400	700
Thiªn §ét	1	4	2	8400	Søc m¹nh	2922	0	0	1200	600
TuyÒn Ki	1	5	3	8200	Giíi h¹n sinh mÖnh %	2931	0	0	1000	500
Hoa C¸i	1	6	4	8000	HiÖu qu¶ håi phôc sinh mÖnh	2939	0	0	1000	500
Tö Cung	1	7	5	7800	TrÞ sè c­êng hãa ngò hµnh	2948	0	0	1000	500
Ngäc §­êng	1	8	6	7600	TrÞ sè nh­îc hãa ngò hµnh	2956	0	0	1000	500
§·n Trung	1	9	7	7400	Toµn kh¸ng	2965	0	0	1000	500
Trung §×nh	1	10	8	7200	Bá qua kh¸ng tÊt c¶	2973	0	0	1000	500
C­u VÜ	1	11	9	7000	T¨ng lùc s¸t th­¬ng	2982	0	0	1000	500
Cù KhuyÕt	1	12	10	6800	Bæ sung ®èi víi kü n¨ng c«ng kÝch	2990	0	0	1000	500
Th­îng O¶n	1	13	11	6600	Träng KÝch	2999	0	0	1000	500
Trung O¶n	1	14	12	6400	Träng KÝch tuyÖt ®èi	3007	0	0	1000	500
KiÕn LÝ	1	15	13	6200	Hãa Gi¶i s¸t th­¬ng	3016	0	0	1000	500
H¹ O¶n	1	16	14	6000	TriÖt tiªu hãa gi¶i s¸t th­¬ng	3024	0	0	1000	500
TiÒn §×nh	2	1	0	9000	Hãa Gi¶i s¸t th­¬ng	3009	0	0	2000	1000
B¸ch Héi	2	2	0	8800	TriÖt tiªu hãa gi¶i s¸t th­¬ng	3017	0	0	1600	800
HËu §×nh	2	3	1	8600	ViÖc nµy. ta cßn ph¶i vÒ suy nghÜ l¹i 	2898	0	0	1400	700
