TaskID	TaskName	TaskInfo
1	TrÇn TiÒu	H¾n ta tªn lµ TrÇn TiÒu, nghe nãi c©y cèi ë trong KiÕm Gia ®Òu lµ do h¾n trång, cho nªn h¾n kh«ng thÓ chŞu nçi khi ng­êi kh¸c ph¸ ho¹i c©y cña cña m×nh. Cã thÊy c¸i c©y n»m ë ®»ng kia kh«ng? c©y ®ã kh«ng ph¶i lµ c©y tÇm th­êng ®©u nhĞ, ë ®ã cã Èn dÊu c¬ quan, 4 ng­êi c¸c ng­¬i ph¶i cïng mét lóc më 4 c©y míi cã thÓ ph¸t ®éng ®­îc ®Õn c¬ quan ®ã ®Ó dô TrÇn Tiªu xuÊt hiÖn. NÕu muèn qua ¶i, th× c¸c ng­¬i b¾t buéc ph¶i ®¸nh b¹i h¾n.
2	Më trô	CÇn ph¶i më tÊt c¶ c¸c trô ë trong gian phßng thµnh c«ng th× míi cã thÓ qua ¶i, tr­íc khi më trô cÇn ph¶i ®¸nh b¹i tÊt c¶ c¸c Ngäc Long Cao Thñ ë xung quanh trô, h¬n n÷a bä hä chØ do no÷ng ®¹i hiÖp cã ngò hµnh t­¬ng kh¾c kÕt thóc cuèi cïng th× kh«ng thÓ håi sinh ®­îc.
3	TuyÕt Linh Ch©u	Thu thËp 10 TuyÕt Linh Ch©u, nhÊn chuét vµo 1 trong 10 c¸i ®ã cã thÓ triÖu håi ra Ngäc Long Hé Ph¸p L·nh B¨ng, sau khi ®¸nh B¹i L·nh B¨ng c¸c ng­¬i cã thÓ qua ¶i.
4	Ngò Th¸i Long Thï	10 gi©y sau ng­¬i sÏ nh×n thÊy mét con Hå §iÖp rÊt lín, ph¶I ®¸no b¹i nã ng­¬i míi cã thÓ qua ¶i ®­îc. Trong qu¸ tr×no chiÕn ®Êu nÕu ng­¬i ph¸t hiÖn cã ng­êi bŞ NhÖn §éc nh¶ t¬ trãi chÆt, ph¶i nhanh chãng ®¸nh chÕt ngay con NhÖn nµy, bêi vi t¬ ®éc cña con NhÖn nµy rÊt ghª gím, ®Ó t¬ ®éc quÊn vµo ng­êi cµng l©u th× ®éc sÏ ph¸t ra mµ chÕt
5	NhiÒu B¶o R­¬ng qu¸!	Khi ng­¬i nh×n thÊy trong gian phßng xuÊt hiÖn rÊt nhiÒu B¶o R­¬ng, ®õng cã mµ mõng sím qu¸, ai mµ biÕt ®­îc trong r­¬ng cã c¸i g× chø. Cã ®iÒu lµ nÕu ng­¬i muèn v­ît ¶i b¾t buéc ph¶i më hÕt tÊt c¶ B¶o R­¬ng ®ã ra, h¬n n÷a cÇn ph¶i ®¸nh b¹i tÊt c¶ Ngäc Long §Ö Tö khi nã xuÊt hiÖn.
6	Vïng nguy hiÓm	T¹i ®©y ng­¬i sÏ gÆp Ngäc Long Hé Ph¸p Cæ TuyÖt S¸t, ng­¬i ph¶i ®¸nh b¹i h¾n míi qua ¶i ®­îc. D­íi tay cña Cæ TuyÖt S¸t cã mét ®¸m Tö Sü, bän ng­êi nµy vâ c«ng rÊt bİ hiÓm vµ ma qu¸i vµ bÊt tö, h¬n n÷a nh÷ng ai ®øng gÇn bän ng­êi nµy sÏ bŞ s¸t th­¬ng chİ m¹ng. Cho nªn khi ng­¬i gÆp ph¶i bän ng­êi nµy th× nªn tr¸nh xa ra th× h¬n, ®ång thêi nhanh chãng ®¸nh b¹i Cæ TuyÖt S¸t
7	Xµ V­¬ng	Con r¾n khæng lå nµy còng kh«ng biÕt lµ con vËt c­ng cña ai nu«i d­ìng ë trong Ngäc Long S¬n Trang nµy, nghe ®ån r»ng nã lµ mét con Xµ V­¬ng ®· sèng hµng ngµn n¨m nay, c¸c ng­¬i ph¶i ®¸nh b¹i con Xµ V­¬ng nµy th× míi qua ¶i ®­îc. Trong lóc chiÕn ®Êu tèt nhÊt nªn tiªu diÖt hÕt tÊt c¶ Xµ No·n ë trªn mÆt ®Êt , b»ng kh«ng th× qua mét kho¶ng thêi gian nã sÏ thµnh TiÓu Xµ, mÆc dï TiÓu Xµ c«ng lùc kh«ng ®­îc cao, nh­ng nã sÏ lµm l·ng phİ thêi gian cña c¸c ng­¬i rÊt lµ nhiÒu
8	L·nh B¨ng	T¹i ®©y ng­¬i sÏ gÆp Ngäc Long Hé Ph¸p  L·nh Binh, ng­¬i ph¶i ®¸nh b¹i ¶ míi qua ¶i ®­îc.
9	Lé B­u	Lé B­u, nh©n nh­ kú danh, phi th­êng b­u h·n, h¬n n÷a con ng­êi nµy kh¸ lµ d· man. H¾n ta cã thÓ sÏ ®Ò yªu cÇu ng­¬i lµm nh÷ng chuyÖn rÊt v« lı, nÕu nh­ ng­¬i kh«ng ®¸p øng ®­îc yªu cÇu cña h¾n hoÆc kh«ng muèn ®¸p øng yªu cÇu cña h¾n, no­ vËy th× ph¶i ra tay ®¸nh b¹i h¾n. §¸nh b¹i h¾n th× cã thÓ qua ¶i.
10	Hé Thñ Trô	ViÖc hiÖn t¹i cÇn c¸c ng­¬i thi hµnh lµ trong vßng 5 phót b¶o vÖ tÊt c¶ c¸c Trô ë trong gian phßng kh«ng ®­îc ®Ó cho Ngäc Long §Ö Tö ®¸nh mÊt trô, nÕu nh­ mçi mét Trô bŞ ®¸nh tan th× ng­¬i sÏ mÊt ®i 2 ng­êi ®ång hµnh
11	Hoa cã mµu rÊt ®á	Ph¸ O¶n Nhi nh×n bÒ ngoµi th× lµ mét tiÓu c« n­¬ng, nh­ng c¸c ng­¬i v¹n nhÊt nhÊt ®õng ®Ó bÒ ngoµi cña c« ta lµm cho mª muéi. Khi c« ta gäi ra mét ®¸m ng­êi ®Ó ®Õn lµm khã dÔ c¸c ng­¬i, lóc ®ã c¸c ng­¬i còng kh«ng cÇn kh¸ch khİ g× víi bä hä, bëi v× chØ cã ®¸nh b¹i bän hä th× c¸c míi qua ¶i ®­îc
12	ThËp B¸t §ång Nh©n	CÇn ph¶i c¨n cø vµo tuÇn tù Kim Méc Thñy Háa Thæ ®Ó më Ngò T«n PhËt T­îng th× míi triÖu ra ®­îc ThËp B¸t §ång Nh©n cña Ngäc Long S¬n Trang, ®¸no b¹i bän hä th× míi cã thÓ nh×n thÊy ®­îc thñ lÜnh cña bon hä, ®¸nh b¹i thñ lİnh vâ nghÖ cao siªu nµy th× c¸c ng­¬i cã thÓ qua ¶i.
13	Trİ Dòng Song Toµn	Cã nh÷ng lóc chØ cÇn cã vâ nghÖ cao c­êng kh«ng th«i th× ch­a ®ñ. B©y giê lµ lóc cÇn c¸c ng­¬i thÓ hiÖn trİ tuÖ cña m×nh. NÕu nh­ mçi ng­êi trong ®éi ngò cã thÓ tr¶ lêi ®óng 10 c©u hái nh­ vËy th× c¸c ng­¬i cã thÓ v­ît ¶i.
14	NhiÒu h¬n mét con còng kh«ng ®­îc	§îi mét l¸t sÏ xuÊt hiÖn rÊt nhiÒu Con Nhİm, sau khi c¸c ng­¬i tiªu diÖt 33 Con Nhİm nªn nhí lµ ph¶i dõng tay l¹i, bêi v× sau khi tiªu diÖt  xong 33 Con Nhİm ®îi 30 gi©y sau th× cã thÓ qua ¶i. Nh­ng nÕu nh­ c¸c ng­¬i kh«ng cÈn then giÕt nhiÒu h¬n dï chØ lµ mét con nh­ vËy c¸c ng­¬i ®· lµm kinh ®éng ®Õn Nhİm V­¬ng, hÔ mµ nã xuÊt hiÖn c¸c ng­¬i cÇn ph¶i ®¸nh b¹i nã th× míi cã thÓ qua ¶i ®­îc
