TRAPX	TRAPY
52704	103360
52704	103232
52672	103200
52640	103168
52608	103104
52576	103072
52608	103040
52640	103008
52672	102976
52704	102944
52672	102912
52640	102880
52672	102848
52704	102816
52576	103808
52576	103744
52576	103680
52576	103616
52608	103552
52640	103488
52672	103424
52960	102336
52992	102272
53024	102208
53056	102144
53088	102080
53088	102016
53088	101952
53088	101888
53088	101824
53088	101760
53088	101696
53088	101632
52736	103296
52736	102784
52736	102720
52736	102656
52736	102592
52768	102560
52800	102528
52832	102496
52864	102464
52896	102432
52928	102400
