MAGICID	MAGICNAME	FACTIONID	LEVEL1	LEVEL2	LEVEL3	LEVEL4	LEVEL5	LEVEL6	LEVEL7	LEVEL8	LEVEL9	LEVEL10	LEVEL11	LEVEL12	LEVEL13	LEVEL14	LEVEL15	LEVEL16	LEVEL17	LEVEL18	LEVEL19	LEVEL20	LEVEL21	LEVEL22	LEVEL23	LEVEL24	LEVEL25	LEVEL26
318	§¹t Ma §é Giang	0	6312	7258	8493	10109	12237	15062	18847	23969	30977	40673	54248	61535	68625	75227	81040	85777	89182	91059	91287	89830						
319	Hoµnh T¶o Thiªn Qu©n	0	7605	8745	10233	12180	14744	18148	22708	28879	37323	49005	65360	74140	82683	90637	97641	132702	107451	109713	109987	108232						
321	V« T­íng Tr¶m 	0	5700	6554	7669	9129	11051	13602	17020	21645	27973	36729	48988	55568	61971	67933	73183	77460	80535	82230	82436	81121						
709	§¹i Thõa Nh­ Lai Chó	0	17851239	19487603	22760330	27669421	34214875	42396694	52214875	63669421	76760330	91487603	107851239	135669421	174942148	225669421	274418181	344618181	425738181	517778181	620738181	620738181						
322	Ph¸ Thiªn Tr¶m 	1	9100	11375	14218	17773	22216	27770	34713	43392	54240	67800	84750	105937	132422	165528	206910	258637	323296	404121	505151	631439						
323	Truy Tinh Trôc NguyÖt 	1	16375	20468	25585	31982	39978	49972	62465	78082	97602	122003	152504	190630	238287	297859	372324	465405	581756	727196	908995	1136243						
325	Truy Phong QuyÕt 	1	9687	12109	15136	18920	23651	29563	36954	46193	57741	72177	90221	112777	140971	176214	220268	275335	344169	430211	537764	672205						
708	§¶o H­ Thiªn	1	17851239	19487603	22760330	27669421	34214875	42396694	52214875	63669421	76760330	91487603	107851239	135669421	174942148	225669421	274418181	344618181	425738181	517778181	620738181	620738181						
339	NhiÕp Hån NguyÖt ¶nh	2	6000	6900	8073	9609	11632	14318	17915	22784	29446	38663	51566	58493	65233	71509	77035	81537	84774	86558	86775	85390						
302	B¹o Vò Lª Hoa	2	6130	7049	8248	9817	11884	14628	18304	23278	30084	39500	105367	119521	133293	146116	157408	166607	173221	176868	280760	174481						
342	Cöu Cung Phi Tinh	2	11700	13455	15743	18738	22683	27920	34936	44430	57420	75393	100554	114062	127204	139442	150218	158997	165309	168789	169211	166511						
710	Mª ¶nh Tung	2	17851239	19487603	22760330	27669421	34214875	42396694	52214875	63669421	76760330	91487603	107851239	135669421	174942148	225669421	274418181	344618181	425738181	517778181	620738181	620738181						
353	¢m Phong Thùc Cèt 	3	8850	10177	11908	14174	17158	21119	26425	33607	43433	57028	76060	86277	96219	105475	113626	120267	125041	127674	127993	125951						
355	HuyÒn ¢m Tr¶m 	3	7500	8625	10091	12012	14540	17897	22394	28481	36807	48328	64458	73116	81541	89386	96293	101921	105967	108198	108468	106738						
711	HÊp Tinh YÓm	3	17851239	19487603	22760330	27669421	34214875	42396694	52214875	63669421	76760330	91487603	107851239	135669421	174942148	225669421	274418181	344618181	425738181	517778181	620738181	620738181						
328	Tam Nga TÒ TuyÕt 	4	7500	8625	10091	12012	14540	17897	22394	28481	36807	48328	64458	73116	81541	89386	96293	101921	105967	108198	108468	106738						
380	Phong S­¬ng To¸i ¶nh 	4	9390	10798	12635	15039	18205	22407	28038	35658	46083	60507	80701	91542	102090	111911	120559	127605	132671	135464	135803	133636						
