Status	ÎÄ¼şÃû	ÀàĞÍ	²¥·Å·½Ê½	Ö÷½ÇÉíºó¿ªÊ¼Ö¡	Ö÷½ÇÉíºó½áÊøÖ¡	¶¯»­×ÜÖ¡Êı	¶¯»­×Ü·½ÏòÊı	¶¯»­Ö¡¼ä¸ô	Í¼·Ö¼¸°ê	ËµÃ÷£ºÍ¼Ö»ÄÜ·Ö1¡¢2¡¢3°ê
Status1	Special	Head	Loop			8	1	50	1	Cho¸ng
Status2	Special	Foot	Loop			8	1	50	1	Tróng ®éc
Status3	Special	Body	Loop	0	29	8	1	50	1	®ãng b¨ng 
Status4	Special	Body	Loop	10	20	8	1	50	1	®èt 
Status5	Special	Body				8	1	50	1	hçn lo¹n
Status6	\spr\skill\Îå¶¾½Ì\wdu_06_ÎŞĞÎ¹Æ.spr	Foot	Loop	0	0	30	1	18	1	V« H×nh §éc
Status7	\spr\skill\Îå¶¾½Ì\wdu_07_¶¾¶Ü.spr	Body	Loop	0	15	20	1	12	1	§éc thuÉn
Status8	\spr\skill\Îå¶¾½Ì\wdu_08_±ùÀ¶Ğş¾§.spr	Head	Loop	0	0	30	1	18	1	B¨ng Lam HuyÒn Tinh
Status9	\spr\skill\Îå¶¾½Ì\wdu_09_À×¶¯¾ÅÌì.spr	Head	Loop	0	0	30	1	18	1	L«i ®éng Cöu Thiªn 
Status10	\spr\skill\Îå¶¾½Ì\wdu_10_³àÑæÊ´Ìì.spr	Head	Loop	0	0	30	1	18	1	Xİch DiÖm Thùc Thiªn
Status11	\spr\skill\Îå¶¾½Ì\wdu_11_Íò¹ÆÊ´ĞÄ.spr	Head	Loop	0	0	30	1	18	1	V¹n §éc Thùc T©m
Status12	\spr\skill\Îå¶¾½Ì\wdu_12_ÒÆ»¨½ÓÓñ.spr	Head	Loop	0	0	20	1	12	1	Di Hoa TiÕp Ngäc
Status13	\spr\skill\À¥ÂØ\kl_06_´óÀËÊ´¿Õ.spr	Body	Loop	5	15	20	1	12	1	§¹i L·ng Thùc Kh«ng
Status14	\spr\skill\À¥ÂØ\kl_07_ÒıÀ×¶İµØ.spr	Body	Loop	7	22	30	1	18	1	DÉn L«i §én §Şa
Status15	\spr\skill\À¥ÂØ\kl_08_ÁÒ»ğºì³¾.spr	Body	Loop	7	22	30	1	18	1	LiÖt Háa Hång TrÇn
Status16	\spr\skill\À¥ÂØ\kl_09_Ä¾Öé±ø½â.spr	Body	Loop	40	40	40	1	16	1	Méc Ch©u Binh Gi¶i
Status17	\spr\skill\À¥ÂØ\kl_10_»¬²»ÁôÊÖ.spr	Body	Loop	4	12	15	1	12	1	Ho¹t BÊt L­u Thñ 
Status18	\spr\skill\Îäµ±\wd_08_ÈË½£ºÏÒ».spr	Body	Loop	7	22	30	1	18	1	Nh©n KiÕm Hîp NhÊt  
Status19	\spr\skill\Îäµ±\wd_06_×øÍüÎŞÎÒ.spr	Head	Loop	0	0	36	1	21	1	Täa Väng V« Ng· 
Status20	\spr\skill\Îäµ±\wd_07_ÆßĞÇÕó.spr	Foot	Loop	0	0	30	1	24	1	ThÊt Tinh TrËn
Status21	\spr\skill\ÌìÈÌ\mag_tr_06_»ğ¶Ü.spr	Body	Loop	4	12	15	1	18	1	Háa ThuÉn
Status22	\spr\skill\ÌìÈÌ\mag_tr_07_ÍµÌì»»ÈÕ.spr	Head	Loop	0	0	15	1	3	1	Th©u Thiªn Ho¸n NhËt
Status23	\spr\skill\ÌìÈÌ\mag_tr_08_ÎüĞÇ´ó·¨.spr	Head	Loop	0	0	15	1	3	1	HÊp Tinh §¹i Ph¸p
Status24	\spr\skill\ÌìÈÌ\mag_tr_09_½èÁ¦´òÁ¦.spr	Head	Loop	0	0	15	1	3	1	T¸ Lùc §¶ Lùc
Status25	\spr\skill\ÌìÈÌ\mag_tr_10_Ê´¹ÇÑªØğ.spr	Head	Loop	0	0	15	1	30	1	Thùc Cèt HuyÕt NhÉn 
Status26	\spr\skill\ÌìÈÌ\mag_tr_11_»ÃÓ°·Éºü.spr	Head	Loop	0	0	15	1	12	1	¶o ¶nh Phi Hå 
Status27	\spr\skill\ÌìÈÌ\mag_tr_12_·ÉºèÎŞ¼£.spr	Head	Loop	0	0	15	1	12	1	Phi Hång V« Tİch
Status28	\spr\skill\ÌìÈÌ\mag_tr_13_À÷Ä§¶á»ê.spr	Head	Loop	0	0	15	1	12	1	LŞch Ma §o¹t Hån
Status29	\spr\skill\ÌìÈÌ\mag_tr_14_ÎåĞĞÕó.spr	Foot	Loop	0	0	15	1	18	1	Ngò hµnh trËn
Status30	\spr\skill\ÌìÈÌ\mag_tr_15_ÌìÄ§½âÌå.spr	Head	Loop	0	0	15	1	15	1	Thiªn Ma Gi¶i ThÓ 
Status31	\spr\skill\´äÑÌ\mag_cy_06_Ñ©¶Ü.spr	Body	Loop	4	12	16	1	18	1	TuyÕt ThuÉn
Status32	\spr\skill\´äÑÌ\mag_cy_07_±ù¶Ü.spr	Body	Loop	4	12	16	1	18	1	B¨ng ThuÉn
Status33	\spr\skill\´äÑÌ\mag_cy_09_Ñ©Ó°.spr	Body	Loop	16	16	16	1	15	1	TuyÕt ¶nh
Status34	\spr\skill\´äÑÌ\mag_cy_12_ÉãĞÄÊõ.spr	Head	Loop	0	0	18	1	6	1	NhiÕp T©m ThuËt
Status35	\spr\skill\ÌÆÃÅ\tm_01_¶¾¸½¼Ó.spr	Head	Loop	0	0	30	1	18	1	T¨ng ®éc
Status36	\spr\skill\ÌÆÃÅ\tm_02_±ù¸½¼Ó.spr	Head	Loop	0	0	30	1	18	1	T¨ng b¨ng
Status37	\spr\skill\¶ëáÒ\mag_em_06_Çï·çÒ¶.spr	Foot	Loop	0	0	16	1	16	1	Thu Phong DiÖp
Status38	\spr\skill\¶ëáÒ\mag_em_07_×íÏÉÍûÔÂ.spr	Foot	Loop	0	0	16	1	16	1	Tóy Tiªn Väng NguyÖt
Status39	\spr\skill\¶ëáÒ\mag_em_08_Á÷Ë®.spr	Foot	Loop	0	0	16	1	16	1	L­u Thñy 
Status40	\spr\skill\¶ëáÒ\mag_em_09_ÃÎµû.spr	Foot	Loop	0	0	16	1	16	1	Méng §iÖp 
Status41	\spr\skill\¶ëáÒ\mag_em_10_·ğĞÄ´ÈÓÓ.spr	Foot	Loop	0	0	15	1	15	1	PhËt T©m Tõ H÷u
Status42	\spr\skill\¶ëáÒ\mag_em_11_·çÓêÆ®Ïã.spr	Head	Loop	0	0	4	1	6	1	Phong Vò Phiªu H­¬ng
Status43	\spr\skill\Ø¤°ï\mag_gb_11_×íµû¿ñÎè.spr	Body	Loop	4	12	16	1	19	1	Tóy §iÖp Cuång Vò 
Status44	\spr\skill\Ø¤°ï\mag_gb_12_´ò¹·Õó.spr	Foot	Loop	0	0	8	1	19	1	§¶ CÈu bæng
Status45	\spr\skill\ÉÙÁÖ\sl_07_ÂŞººÕó.spr	Foot	Loop	0	0	10	1	8	1	La H¸n TrËn
Status46	\spr\skill\ÌìÍõ\tw_01_»ğÑÛ½ğ¾¦.spr	Head	Loop	0	0	10	1	16	1	Háa Nh·n Kim T×nh
