EqName	FreeStand1	FreeStand2	FreeStand3	MeleeWStand	RangeWStand	DoubleWStand	FreeWalk	NormalWalk	MeleeWWalk	RangeWWalk	DoubleWWalk	FreeRun	NormalRun	MeleeWRun	RangeWRun	DoubleWRun	FreeWound	MeleeWWound	RangeWWound	DoubleWWound	FreeDie	MeleeWDie	RangeWDie	DoubleWDie	FreeAttack	MeleeWPuncture	MeleeWCut	RangeWPuncture	RangeWCut	DoubleWPull	DoubleWPound	DartThrow	FreeMagic	MeleeWMagic	RangeWMagic	DoubleWMagic	SitDown	Jump	RideStand	RideWalk	RideRun	RideCut	RidePuncture	RideMagic	RideWound	RideDie	RideStand1	RideStand2	ChangeColor
Tay kh«ng																																																	
®¬n thñ kiÕm 1																																																	
®¬n thñ kiÕm 2																																																	
®¬n thñ kiÕm 3																																																	
®¬n thñ ®ao 1																																																	
®¬n thñ ®ao 2																																																	
®¬n thñ ®ao 3																																																	
Lo¹i tr­êng th­¬ng 1																																																	
Lo¹i tr­êng th­¬ng 2																																																	
Lo¹i tr­êng th­¬ng 3																																																	
Lo¹i tr­êng c«n 1																																																	
Lo¹i tr­êng c«n 2																																																	
Lo¹i tr­êng c«n 3																																																	
Lo¹i Song kiÕm 1																																																	
Lo¹i Song kiÕm 2																																																	
Lo¹i Song kiÕm 3																																																	
Lo¹i Song chïy 1																																																	
Lo¹i Song chïy 2																																																	
Lo¹i Song chïy 3																																																	
¸m khÝ 																																																	
®¬n thñ kiÕm 4																																																	
®¬n thñ kiÕm 5																																																	
®¬n thñ ®ao 4																																																	
®¬n thñ ®ao 5																																																	
Lo¹i tr­êng th­¬ng 4																																																	
Lo¹i tr­êng th­¬ng 5																																																	
Lo¹i tr­êng c«n 4																																																	
Lo¹i tr­êng c«n 5																																																	
Lo¹i Song kiÕm 4																																																	
Lo¹i Song kiÕm 5																																																	
Lo¹i Song chïy 4																																																	
Lo¹i Song chïy 5																																																	
<<Î´·­Òë>>																																																	
<<Î´·­Òë>>																																																	
<<Î´·­Òë>>																																																	
<<Î´·­Òë>>																																																	
<<Î´·­Òë>>																																																	
<<Î´·­Òë>>																																																	
<<Î´·­Òë>>																																																	
<<Î´·­Òë>>																																																	
<<Î´·­Òë>>																																																	
<<Î´·­Òë>>																																																	
<<Î´·­Òë>>																																																	
<<Î´·­Òë>>																																																	
Ë«²øÊÖ-½ð	MA_LF_001_ST01.spr	MA_LF_001_ST02.spr	MA_LF_001_ST03.spr	MA_LF_000_ST04.spr	MA_LF_000_ST05.spr	MA_LF_000_ST06.spr	MA_LF_001_WK01.spr	MA_LF_001_WK01.spr	MA_LF_000_WK02.spr	MA_LF_000_WK03.spr	MA_LF_000_WK04.spr	MA_LF_001_RN01.spr	MA_LF_001_RN01.spr	MA_LF_000_RN02.spr	MA_LF_000_RN03.spr	MA_LF_000_RN04.spr	MA_LF_001_IJ01.spr	MA_LF_000_IJ02.spr	MA_LF_000_IJ03.spr	MA_LF_000_IJ04.spr	MA_LF_001_DE01.spr	MA_LF_000_DE02.spr	MA_LF_000_DE03.spr	MA_LF_000_DE04.spr	MA_LF_001_AT01.spr	MA_LF_000_AT02.spr	MA_LF_000_AT03.spr	MA_LF_000_AT04.spr	MA_LF_000_AT05.spr	MA_LF_000_AT06.spr	MA_LF_000_AT07.spr	MA_LF_001_MG01.spr	MA_LF_001_MG02.spr	MA_LF_000_MG03.spr	MA_LF_000_MG04.spr	MA_LF_000_MG05.spr	MA_LF_001_ZZ01.spr	MA_LF_001_JP01.spr	MA_LF_008_RD01.spr	MA_LF_008_HW01.spr	MA_LF_008_HR01.spr	MA_LF_008_HA01.spr	MA_LF_008_HA02.spr	MA_LF_008_HM01.spr	MA_LF_008_HI01.spr	MA_LF_008_HD01.spr	MA_LF_008_RD01.spr	MA_LF_008_RD01.spr	0x808000
