EqName	FreeStand1	FreeStand2	FreeStand3	MeleeWStand	RangeWStand	DoubleWStand	FreeWalk	NormalWalk	MeleeWWalk	RangeWWalk	DoubleWWalk	FreeRun	NormalRun	MeleeWRun	RangeWRun	DoubleWRun	FreeWound	MeleeWWound	RangeWWound	DoubleWWound	FreeDie	MeleeWDie	RangeWDie	DoubleWDie	FreeAttack	MeleeWPuncture	MeleeWCut	RangeWPuncture	RangeWCut	DoubleWPull	DoubleWPound	DartThrow	FreeMagic	MeleeWMagic	RangeWMagic	DoubleWMagic	SitDown	Jump	RideStand	RideWalk	RideRun	RideCut	RidePuncture	RideMagic	RideWound	RideDie	RideStand1	RideStand2
ph莕 u 01	FM_HR_001_ST01.spr	FM_HR_001_ST01.spr	FM_HR_001_ST01.spr	FM_HR_001_ST04.spr	FM_HR_001_ST05.spr	FM_HR_001_ST06.spr	FM_HR_001_RN01.spr	FM_HR_001_RN01.spr	FM_HR_001_RN02.spr	FM_HR_001_RN03.spr	FM_HR_001_RN04.spr	FM_HR_001_RN01.spr	FM_HR_001_RN01.spr	FM_HR_001_RN02.spr	FM_HR_001_RN03.spr	FM_HR_001_RN04.spr	FM_HR_001_IJ01.spr	FM_HR_001_IJ02.spr	FM_HR_001_IJ03.spr	FM_HR_001_IJ04.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	FM_HR_001_AT01.spr	FM_HR_001_AT03.spr	FM_HR_001_AT03.spr	FM_HR_001_AT04.spr	FM_HR_001_AT04.spr	FM_HR_001_AT07.spr	FM_HR_001_AT07.spr	FM_HR_001_MG01.spr	FM_HR_001_AT01.spr	FM_HR_001_AT03.spr	FM_HR_001_AT04.spr	FM_HR_001_AT07.spr	FM_HR_001_ZZ01.spr	FM_HR_001_JP01.spr	FM_HR_001_RD01.spr	FM_HR_001_HR01.spr	FM_HR_001_HR01.spr	FM_HR_001_HA01.spr	FM_HR_001_HA01.spr	FM_HR_001_HA01.spr	FM_HR_001_HI01.spr	All_DE01.spr	FM_HR_001_RD01.spr	FM_HR_001_RD01.spr
ph莕 u 02	FM_HR_002_ST01.spr	FM_HR_002_ST01.spr	FM_HR_002_ST01.spr	FM_HR_002_ST04.spr	FM_HR_002_ST05.spr	FM_HR_002_ST06.spr	FM_HR_002_RN01.spr	FM_HR_002_RN01.spr	FM_HR_002_RN02.spr	FM_HR_002_RN03.spr	FM_HR_002_RN04.spr	FM_HR_002_RN01.spr	FM_HR_002_RN01.spr	FM_HR_002_RN02.spr	FM_HR_002_RN03.spr	FM_HR_002_RN04.spr	FM_HR_002_IJ01.spr	FM_HR_002_IJ02.spr	FM_HR_002_IJ03.spr	FM_HR_002_IJ04.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	FM_HR_002_AT01.spr	FM_HR_002_AT03.spr	FM_HR_002_AT03.spr	FM_HR_002_AT04.spr	FM_HR_002_AT04.spr	FM_HR_002_AT07.spr	FM_HR_002_AT07.spr	FM_HR_002_MG01.spr	FM_HR_002_AT01.spr	FM_HR_002_AT03.spr	FM_HR_002_AT04.spr	FM_HR_002_AT07.spr	FM_HR_002_ZZ01.spr	FM_HR_002_JP01.spr	FM_HR_002_RD01.spr	FM_HR_002_HR01.spr	FM_HR_002_HR01.spr	FM_HR_002_HA01.spr	FM_HR_002_HA01.spr	FM_HR_002_HA01.spr	FM_HR_002_HI01.spr	All_DE01.spr	FM_HR_002_RD01.spr	FM_HR_002_RD01.spr
ph莕 u 03	FM_HR_003_ST01.spr	FM_HR_003_ST01.spr	FM_HR_003_ST01.spr	FM_HR_003_ST04.spr	FM_HR_003_ST05.spr	FM_HR_003_ST06.spr	FM_HR_003_RN01.spr	FM_HR_003_RN01.spr	FM_HR_003_RN02.spr	FM_HR_003_RN03.spr	FM_HR_003_RN04.spr	FM_HR_003_RN01.spr	FM_HR_003_RN01.spr	FM_HR_003_RN02.spr	FM_HR_003_RN03.spr	FM_HR_003_RN04.spr	FM_HR_003_IJ01.spr	FM_HR_003_IJ02.spr	FM_HR_003_IJ03.spr	FM_HR_003_IJ04.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	FM_HR_003_AT01.spr	FM_HR_003_AT03.spr	FM_HR_003_AT03.spr	FM_HR_003_AT04.spr	FM_HR_003_AT04.spr	FM_HR_003_AT07.spr	FM_HR_003_AT07.spr	FM_HR_003_MG01.spr	FM_HR_003_AT01.spr	FM_HR_003_AT03.spr	FM_HR_003_AT04.spr	FM_HR_003_AT07.spr	FM_HR_003_ZZ01.spr	FM_HR_003_JP01.spr	FM_HR_003_RD01.spr	FM_HR_003_HR01.spr	FM_HR_003_HR01.spr	FM_HR_003_HA01.spr	FM_HR_003_HA01.spr	FM_HR_003_HA01.spr	FM_HR_003_HI01.spr	All_DE01.spr	FM_HR_003_RD01.spr	FM_HR_003_RD01.spr
ph莕 u 04	FM_HR_004_ST01.spr	FM_HR_004_ST01.spr	FM_HR_004_ST01.spr	FM_HR_004_ST04.spr	FM_HR_004_ST05.spr	FM_HR_004_ST06.spr	FM_HR_004_RN01.spr	FM_HR_004_RN01.spr	FM_HR_004_RN02.spr	FM_HR_004_RN03.spr	FM_HR_004_RN04.spr	FM_HR_004_RN01.spr	FM_HR_004_RN01.spr	FM_HR_004_RN02.spr	FM_HR_004_RN03.spr	FM_HR_004_RN04.spr	FM_HR_004_IJ01.spr	FM_HR_004_IJ02.spr	FM_HR_004_IJ03.spr	FM_HR_004_IJ04.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	FM_HR_004_AT01.spr	FM_HR_004_AT03.spr	FM_HR_004_AT03.spr	FM_HR_004_AT04.spr	FM_HR_004_AT04.spr	FM_HR_004_AT07.spr	FM_HR_004_AT07.spr	FM_HR_004_MG01.spr	FM_HR_004_AT01.spr	FM_HR_004_AT03.spr	FM_HR_004_AT04.spr	FM_HR_004_AT07.spr	FM_HR_004_ZZ01.spr	FM_HR_004_JP01.spr	FM_HR_004_RD01.spr	FM_HR_004_HR01.spr	FM_HR_004_HR01.spr	FM_HR_004_HA01.spr	FM_HR_004_HA01.spr	FM_HR_004_HA01.spr	FM_HR_004_HI01.spr	All_DE01.spr	FM_HR_004_RD01.spr	FM_HR_004_RD01.spr
ph莕 u 05	FM_HR_005_ST01.spr	FM_HR_005_ST01.spr	FM_HR_005_ST01.spr	FM_HR_005_ST04.spr	FM_HR_005_ST05.spr	FM_HR_005_ST06.spr	FM_HR_005_RN01.spr	FM_HR_005_RN01.spr	FM_HR_005_RN02.spr	FM_HR_005_RN03.spr	FM_HR_005_RN04.spr	FM_HR_005_RN01.spr	FM_HR_005_RN01.spr	FM_HR_005_RN02.spr	FM_HR_005_RN03.spr	FM_HR_005_RN04.spr	FM_HR_005_IJ01.spr	FM_HR_005_IJ02.spr	FM_HR_005_IJ03.spr	FM_HR_005_IJ04.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	FM_HR_005_AT01.spr	FM_HR_005_AT03.spr	FM_HR_005_AT03.spr	FM_HR_005_AT04.spr	FM_HR_005_AT04.spr	FM_HR_005_AT07.spr	FM_HR_005_AT07.spr	FM_HR_005_MG01.spr	FM_HR_005_AT01.spr	FM_HR_005_AT03.spr	FM_HR_005_AT04.spr	FM_HR_005_AT07.spr	FM_HR_005_ZZ01.spr	FM_HR_005_JP01.spr	FM_HR_005_RD01.spr	FM_HR_005_HR01.spr	FM_HR_005_HR01.spr	FM_HR_005_HA01.spr	FM_HR_005_HA01.spr	FM_HR_005_HA01.spr	FM_HR_005_HI01.spr	All_DE01.spr	FM_HR_005_RD01.spr	FM_HR_005_RD01.spr
ph莕 u 06	FM_HR_006_ST01.spr	FM_HR_006_ST01.spr	FM_HR_006_ST01.spr	FM_HR_006_ST04.spr	FM_HR_006_ST05.spr	FM_HR_006_ST06.spr	FM_HR_006_RN01.spr	FM_HR_006_RN01.spr	FM_HR_006_RN02.spr	FM_HR_006_RN03.spr	FM_HR_006_RN04.spr	FM_HR_006_RN01.spr	FM_HR_006_RN01.spr	FM_HR_006_RN02.spr	FM_HR_006_RN03.spr	FM_HR_006_RN04.spr	FM_HR_006_IJ01.spr	FM_HR_006_IJ02.spr	FM_HR_006_IJ03.spr	FM_HR_006_IJ04.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	FM_HR_006_AT01.spr	FM_HR_006_AT03.spr	FM_HR_006_AT03.spr	FM_HR_006_AT04.spr	FM_HR_006_AT04.spr	FM_HR_006_AT07.spr	FM_HR_006_AT07.spr	FM_HR_006_MG01.spr	FM_HR_006_AT01.spr	FM_HR_006_AT03.spr	FM_HR_006_AT04.spr	FM_HR_006_AT07.spr	FM_HR_006_ZZ01.spr	FM_HR_006_JP01.spr	FM_HR_006_RD01.spr	FM_HR_006_HR01.spr	FM_HR_006_HR01.spr	FM_HR_006_HA01.spr	FM_HR_006_HA01.spr	FM_HR_006_HA01.spr	FM_HR_006_HI01.spr	All_DE01.spr	FM_HR_006_RD01.spr	FM_HR_006_RD01.spr
ph莕 u 07	FM_HR_007_ST01.spr	FM_HR_007_ST01.spr	FM_HR_007_ST01.spr	FM_HR_007_ST04.spr	FM_HR_007_ST05.spr	FM_HR_007_ST06.spr	FM_HR_007_RN01.spr	FM_HR_007_RN01.spr	FM_HR_007_RN02.spr	FM_HR_007_RN03.spr	FM_HR_007_RN04.spr	FM_HR_007_RN01.spr	FM_HR_007_RN01.spr	FM_HR_007_RN02.spr	FM_HR_007_RN03.spr	FM_HR_007_RN04.spr	FM_HR_007_IJ01.spr	FM_HR_007_IJ02.spr	FM_HR_007_IJ03.spr	FM_HR_007_IJ04.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	FM_HR_007_AT01.spr	FM_HR_007_AT03.spr	FM_HR_007_AT03.spr	FM_HR_007_AT04.spr	FM_HR_007_AT04.spr	FM_HR_007_AT07.spr	FM_HR_007_AT07.spr	FM_HR_007_MG01.spr	FM_HR_007_AT01.spr	FM_HR_007_AT03.spr	FM_HR_007_AT04.spr	FM_HR_007_AT07.spr	FM_HR_007_ZZ01.spr	FM_HR_007_JP01.spr	FM_HR_007_RD01.spr	FM_HR_007_HR01.spr	FM_HR_007_HR01.spr	FM_HR_007_HA01.spr	FM_HR_007_HA01.spr	FM_HR_007_HA01.spr	FM_HR_007_HI01.spr	All_DE01.spr	FM_HR_007_RD01.spr	FM_HR_007_RD01.spr
ph莕 u 08	FM_HR_008_ST01.spr	FM_HR_008_ST01.spr	FM_HR_008_ST01.spr	FM_HR_008_ST04.spr	FM_HR_008_ST05.spr	FM_HR_008_ST06.spr	FM_HR_008_RN01.spr	FM_HR_008_RN01.spr	FM_HR_008_RN02.spr	FM_HR_008_RN03.spr	FM_HR_008_RN04.spr	FM_HR_008_RN01.spr	FM_HR_008_RN01.spr	FM_HR_008_RN02.spr	FM_HR_008_RN03.spr	FM_HR_008_RN04.spr	FM_HR_008_IJ01.spr	FM_HR_008_IJ02.spr	FM_HR_008_IJ03.spr	FM_HR_008_IJ04.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	FM_HR_008_AT01.spr	FM_HR_008_AT03.spr	FM_HR_008_AT03.spr	FM_HR_008_AT04.spr	FM_HR_008_AT04.spr	FM_HR_008_AT07.spr	FM_HR_008_AT07.spr	FM_HR_008_MG01.spr	FM_HR_008_AT01.spr	FM_HR_008_AT03.spr	FM_HR_008_AT04.spr	FM_HR_008_AT07.spr	FM_HR_008_ZZ01.spr	FM_HR_008_JP01.spr	FM_HR_008_RD01.spr	FM_HR_008_HR01.spr	FM_HR_008_HR01.spr	FM_HR_008_HA01.spr	FM_HR_008_HA01.spr	FM_HR_008_HA01.spr	FM_HR_008_HI01.spr	All_DE01.spr	FM_HR_008_RD01.spr	FM_HR_008_RD01.spr
ph莕 u 09	FM_HR_009_ST01.spr	FM_HR_009_ST01.spr	FM_HR_009_ST01.spr	FM_HR_009_ST04.spr	FM_HR_009_ST05.spr	FM_HR_009_ST06.spr	FM_HR_009_RN01.spr	FM_HR_009_RN01.spr	FM_HR_009_RN02.spr	FM_HR_009_RN03.spr	FM_HR_009_RN04.spr	FM_HR_009_RN01.spr	FM_HR_009_RN01.spr	FM_HR_009_RN02.spr	FM_HR_009_RN03.spr	FM_HR_009_RN04.spr	FM_HR_009_IJ01.spr	FM_HR_009_IJ02.spr	FM_HR_009_IJ03.spr	FM_HR_009_IJ04.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	FM_HR_009_AT01.spr	FM_HR_009_AT03.spr	FM_HR_009_AT03.spr	FM_HR_009_AT04.spr	FM_HR_009_AT04.spr	FM_HR_009_AT07.spr	FM_HR_009_AT07.spr	FM_HR_009_MG01.spr	FM_HR_009_AT01.spr	FM_HR_009_AT03.spr	FM_HR_009_AT04.spr	FM_HR_009_AT07.spr	FM_HR_009_ZZ01.spr	FM_HR_009_JP01.spr	FM_HR_009_RD01.spr	FM_HR_009_HR01.spr	FM_HR_009_HR01.spr	FM_HR_009_HA01.spr	FM_HR_009_HA01.spr	FM_HR_009_HA01.spr	FM_HR_009_HI01.spr	All_DE01.spr	FM_HR_009_RD01.spr	FM_HR_009_RD01.spr
ph莕 u 10	FM_HR_010_ST01.spr	FM_HR_010_ST01.spr	FM_HR_010_ST01.spr	FM_HR_010_ST04.spr	FM_HR_010_ST05.spr	FM_HR_010_ST06.spr	FM_HR_010_RN01.spr	FM_HR_010_RN01.spr	FM_HR_010_RN02.spr	FM_HR_010_RN03.spr	FM_HR_010_RN04.spr	FM_HR_010_RN01.spr	FM_HR_010_RN01.spr	FM_HR_010_RN02.spr	FM_HR_010_RN03.spr	FM_HR_010_RN04.spr	FM_HR_010_IJ01.spr	FM_HR_010_IJ02.spr	FM_HR_010_IJ03.spr	FM_HR_010_IJ04.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	All_DE01.spr	FM_HR_010_AT01.spr	FM_HR_010_AT03.spr	FM_HR_010_AT03.spr	FM_HR_010_AT04.spr	FM_HR_010_AT04.spr	FM_HR_010_AT07.spr	FM_HR_010_AT07.spr	FM_HR_010_MG01.spr	FM_HR_010_AT01.spr	FM_HR_010_AT03.spr	FM_HR_010_AT04.spr	FM_HR_010_AT07.spr	FM_HR_010_ZZ01.spr	FM_HR_010_JP01.spr	FM_HR_010_RD01.spr	FM_HR_010_HR01.spr	FM_HR_010_HR01.spr	FM_HR_010_HA01.spr	FM_HR_010_HA01.spr	FM_HR_010_HA01.spr	FM_HR_010_HI01.spr	All_DE01.spr	FM_HR_010_RD01.spr	FM_HR_010_RD01.spr
