CharacterName	CharacterType	ResFilePath	PartFileName	WeaponActionTab1	WeaponActionTab2	ActionRenderOrderTab	Head	Hair	Shoulder	Body	LeftHand	RightHead	LeftWeapon	RightWeapon	HorseFront	HorseMiddle	HorseBack
MainMan	SpecialNpc	spr\npcres\man	男主角部件列表.txt	男主角未骑马关联表.txt	男主角骑马关联表.txt	男主角贴图顺序表.txt	男主角头部.txt	男主角发型.txt	男主角肩膀.txt	男主角躯体.txt	男主角左手.txt	男主角右手.txt	男主角左手武器.txt	男主角右手武器.txt	男主角马前.txt	男主角马中.txt	男主角马后.txt
MainLady	SpecialNpc	spr\npcres\woman	女主角部件列表.txt	女主角未骑马关联表.txt	女主角骑马关联表.txt	女主角贴图顺序表.txt	女主角头部.txt	女主角发型.txt	女主角肩膀.txt	女主角躯体.txt	女主角左手.txt	女主角右手.txt	女主角左手武器.txt	女主角右手武器.txt	女主角马前.txt	女主角马中.txt	女主角马后.txt
enemy003	NormalNpc	spr\npcres\enemy\enemy003															
enemy004	NormalNpc	spr\npcres\enemy\enemy004															
enemy005	NormalNpc	spr\npcres\enemy\enemy005															
enemy006	NormalNpc	spr\npcres\enemy\enemy006															
enemy007	NormalNpc	spr\npcres\enemy\enemy016															
enemy015	NormalNpc	spr\npcres\enemy\enemy015															
enemy016	NormalNpc	spr\npcres\enemy\enemy016															
enemy017	NormalNpc	spr\npcres\enemy\enemy021															
enemy021	NormalNpc	spr\npcres\enemy\enemy021															
enemy022	NormalNpc	spr\npcres\enemy\enemy021															
enemy023	NormalNpc	spr\npcres\enemy\enemy023															
enemy024	NormalNpc	spr\npcres\enemy\enemy024															
enemy026	NormalNpc	spr\npcres\enemy\enemy021															
enemy028	NormalNpc	spr\npcres\enemy\enemy028															
enemy029	NormalNpc	spr\npcres\enemy\enemy021															
enemy031	NormalNpc	spr\npcres\enemy\enemy021															
enemy034	NormalNpc	spr\npcres\enemy\enemy021															
enemy036	NormalNpc	spr\npcres\enemy\enemy036															
enemy037	NormalNpc	spr\npcres\enemy\enemy037															
enemy038	NormalNpc	spr\npcres\enemy\enemy037															
enemy039	NormalNpc	spr\npcres\enemy\enemy037															
enemy040	NormalNpc	spr\npcres\enemy\enemy040															
enemy041	NormalNpc	spr\npcres\enemy\enemy037															
enemy042	NormalNpc	spr\npcres\enemy\enemy037															
enemy043	NormalNpc	spr\npcres\enemy\enemy043															
enemy044	NormalNpc	spr\npcres\enemy\enemy037															
enemy045	NormalNpc	spr\npcres\enemy\enemy045															
enemy046	NormalNpc	spr\npcres\enemy\enemy046															
enemy047	NormalNpc	spr\npcres\enemy\enemy050															
enemy048	NormalNpc	spr\npcres\enemy\enemy050															
enemy049	NormalNpc	spr\npcres\enemy\enemy050															
enemy050	NormalNpc	spr\npcres\enemy\enemy050															
enemy051	NormalNpc	spr\npcres\enemy\enemy050															
enemy052	NormalNpc	spr\npcres\enemy\enemy050															
enemy053	NormalNpc	spr\npcres\enemy\enemy053															
enemy054	NormalNpc	spr\npcres\enemy\enemy053															
enemy055	NormalNpc	spr\npcres\enemy\enemy055															
enemy056	NormalNpc	spr\npcres\enemy\enemy056															
enemy057	NormalNpc	spr\npcres\enemy\enemy056															
enemy058	NormalNpc	spr\npcres\enemy\enemy060															
enemy059	NormalNpc	spr\npcres\enemy\enemy060															
enemy060	NormalNpc	spr\npcres\enemy\enemy060															
enemy061	NormalNpc	spr\npcres\enemy\enemy060															
enemy062	NormalNpc	spr\npcres\enemy\enemy060															
enemy063	NormalNpc	spr\npcres\enemy\enemy060															
enemy064	NormalNpc	spr\npcres\enemy\enemy060															
enemy065	NormalNpc	spr\npcres\enemy\enemy065															
enemy066	NormalNpc	spr\npcres\enemy\enemy067															
enemy067	NormalNpc	spr\npcres\enemy\enemy067															
enemy068	NormalNpc	spr\npcres\enemy\enemy067															
enemy069	NormalNpc	spr\npcres\enemy\enemy060															
enemy070	NormalNpc	spr\npcres\enemy\enemy070															
enemy071	NormalNpc	spr\npcres\enemy\enemy071															
enemy072	NormalNpc	spr\npcres\enemy\enemy075															
enemy073	NormalNpc	spr\npcres\enemy\enemy075															
enemy074	NormalNpc	spr\npcres\enemy\enemy075															
enemy075	NormalNpc	spr\npcres\enemy\enemy075															
enemy076	NormalNpc	spr\npcres\enemy\enemy076															
enemy077	NormalNpc	spr\npcres\enemy\enemy077															
enemy078	NormalNpc	spr\npcres\enemy\enemy080															
enemy079	NormalNpc	spr\npcres\enemy\enemy080															
enemy080	NormalNpc	spr\npcres\enemy\enemy080															
enemy081	NormalNpc	spr\npcres\enemy\enemy081															
enemy082	NormalNpc	spr\npcres\enemy\enemy082															
enemy083	NormalNpc	spr\npcres\enemy\enemy083															
enemy084	NormalNpc	spr\npcres\enemy\enemy084															
enemy085	NormalNpc	spr\npcres\enemy\enemy085															
enemy086	NormalNpc	spr\npcres\enemy\enemy086															
enemy087	NormalNpc	spr\npcres\enemy\enemy085															
