LEVEL	EXP
1	100
2	500
3	1100
4	1900
5	2900
6	4100
7	5500
8	7100
9	8900
10	13625
11	16375
12	19625
13	23375
14	27625
15	32375
16	37625
17	43375
18	49625
19	56375
20	63625
21	71375
22	79875
23	89125
24	99125
25	109875
26	121375
27	133625
28	146625
29	160375
30	174875
31	190125
32	206750
33	224750
34	244125
35	264875
36	287000
37	310500
38	335375
39	361625
40	389250
41	418250
42	450500
43	486000
44	524750
45	566750
46	612000
47	660500
48	712250
49	767250
50	825500
51	887000
52	957500
53	1037000
54	1125500
55	1223000
56	1329500
57	1445000
58	1569500
59	1703000
60	1845500
61	1997000
62	2172750
63	2372750
64	2597000
65	2845500
66	3118250
67	3415250
68	3736500
69	4082000
70	4475900
71	4918200
72	5408900
73	5948000
74	6535500
75	7365000
76	8436500
77	9750000
78	11305500
79	13103000
80	15529700
81	18585600
82	22270700
83	26585000
84	31528500
85	37101200
86	43303100
87	50134200
88	57594500
89	65684000
90	74644700
91	84476600
92	95179700
93	106754000
94	119199500
95	132516200
96	146704100
97	161763200
98	177693500
99	194495000
100	194495000
