talk_id	friend010	friend1019	friend1949	friend4984	friend8495	friend95100
1	就你这三脚猫的工夫还学别人闯江湖？	仁兄，你怎么一看到美女两眼就放光。	人的破坏欲是非常可怕的，但通过修行可以化解。	峨嵋山的风景天下闻名，尤其是佛光，见到佛光会带来福气的。	昨日我喝得真痛快，现在头有点昏！	今天你的气色不错啊！
2	我只是为钱工作。	我每天早晚都会用盐水漱口，你也要养成这习惯。	唉，人生真是充满了悲伤和痛苦啊！	丐帮的那些弟子真是无孔不入啊，哪都能见到他们的身影。	前几日喝醉后，倒在路边睡了，现在偶感风寒。	其实我家祖上也曾经有过为官之人。
3	你总是站那么老远干什么？！我死了你也活不成！	我最烦冬天了，一下雪路就结冰，容易摔交。	我为什么总是错过自己的缘分呢？	我最喜欢翡翠，它的颜色是那么耀眼，令人爱不释手。	成都的老鼠比别的地方的都肥，看来那里的生活还不错。	那个我深爱的女人离开我的原因只有一个，是我当时太不懂得珍惜了。
4	别走这么快，我需要休息一下。	马步都扎不稳，还要学功夫，你先练基本功吧。	今年我一定要攒够老婆本，节约每一文钱。	大哥没有喜欢的女子么？	刚才过去的小娘子是哪位啊？	失去的东西，往往无法找回。
5	哎，听到了没有，我们得休息一下！	我真是失败啊，又被女孩给甩了。	你也应该找一个情投意和的姑娘了，哈哈！	真奇怪，最近老天爷总是不下雨！	曾经我也深爱过一个女子，但最后她离开了我。	过年我一定要回老家看看，陪我爹娘吃顿团圆饭。
6	虽然生处乱世，却给了我更多可以施展本领的机会。	为什么你的马这么不听话，把我踢了个大跟斗。	当初我逃婚不知道是不是对的？	敦煌是一个充满神秘力量的地方，我们一定要去探访一下。	百姓的生活很困苦，做皇帝的也该勤俭一下。	今天没有什么特别的事发生。
7	你为什么而行走江湖呢，不会只为了财富和名声吧。	你要负责我的的医疗费，我身上的伤越来越多了。	曾经我有个童养媳，后来她被我娘放走了。	陷入了战乱的大宋，百姓生活在水深火热当中，希望再也不会有战争了。	多和城里的乞丐打打交道，他们知道很多事情的。	我看大哥最近食欲不振，我去抓些药来给你喝！
8	最近已经看不到金人的影子了。	朱仙镇的箭头，是我拜把兄弟。	我娘是个非常善良的人。	等大哥成了江湖中的大侠，我也可以杨名天下了。	武当的一个牛鼻子老道，曾经欺负我俺，我一定要报仇。	这个季节山里的蘑菇特别多，我们也去采一些来吧。
9	人是铁，饭是钢，一顿不吃饿的慌。	下回路过翠烟门时，我要多瞧两眼，看看有没有美女！	那日在京城看到一个身边有好多护卫的女子，不知她是什么来历。	我最喜欢吃的东西就是包子啦。	做为男人我们应该更勤奋。	上次我受伤承蒙大哥照顾了。
10	前日打一伙贼人时，见你拿了不少财宝。	想当年我也曾是一代大侠，如今沦落到当人随从了。	我建议你把手上的污血洗掉再吃东西吧。	虽然赌博不好，可是偶尔我也会去试试手气。	女人常常说要嫁有责任感的男人，不知道这个标准是什么样的？	只要有我在，一定不会让大哥受伤的。
