index_Name	index_ItemGenre	index_DetailType	index_ParticualrType	index_taskid	index_level	index_content
同伴修炼任务卷轴1	6	1	447	6	15	去凤翔城外杀刺猬50只，同伴等级要求不低于5级
同伴修炼任务卷轴2	6	1	448	7	15	去凤翔城外杀刺猬100只，同伴等级要求不低于5级
同伴修炼任务卷轴3	6	1	449	8	15	去凤翔城外杀刺猬150只，同伴等级要求不低于5级
同伴修炼任务卷轴4	6	1	450	9	15	去华山杀刺猬50只，同伴等级要求不低于5级
同伴修炼任务卷轴5	6	1	451	10	15	去华山杀刺猬100只，同伴等级要求不低于5级
同伴修炼任务卷轴6	6	1	452	11	15	去华山杀刺猬150只，同伴等级要求不低于5级
同伴修炼任务卷轴7	6	1	453	12	25	去剑阁西北杀火狼50只，同伴等级要求不低于15级
同伴修炼任务卷轴8	6	1	454	13	25	去剑阁西北杀火狼100只，同伴等级要求不低于15级
同伴修炼任务卷轴9	6	1	455	14	25	去剑阁西北杀火狼150只，同伴等级要求不低于15级
同伴修炼任务卷轴10	6	1	456	15	35	去金光洞迷宫杀草寇甲50个，同伴等级要求不低于25级
同伴修炼任务卷轴11	6	1	457	16	35	去金光洞迷宫杀草寇甲100个，同伴等级要求不低于25级
同伴修炼任务卷轴12	6	1	458	17	35	去金光洞迷宫杀草寇甲150个，同伴等级要求不低于25级
同伴修炼任务卷轴13	6	1	459	18	45	去经皇洞迷宫杀土匪甲50个，同伴等级要求不低于35级
同伴修炼任务卷轴14	6	1	460	19	45	去经皇洞迷宫杀土匪甲100个，同伴等级要求不低于35级
同伴修炼任务卷轴15	6	1	461	20	45	去经皇洞迷宫杀土匪甲150个，同伴等级要求不低于35级
同伴修炼任务卷轴16	6	1	462	21	45	去锁云洞迷宫杀山贼乙50个，同伴等级要求不低于35级
同伴修炼任务卷轴17	6	1	463	22	45	去锁云洞迷宫杀山贼乙100个，同伴等级要求不低于35级
同伴修炼任务卷轴18	6	1	464	23	45	去锁云洞迷宫杀山贼乙150个，同伴等级要求不低于35级
同伴修炼任务卷轴19	6	1	465	24	25	去秦陵杀刺猬50只，同伴等级要求不低于15级
同伴修炼任务卷轴20	6	1	466	25	25	去秦陵杀刺猬100只，同伴等级要求不低于15级
同伴修炼任务卷轴21	6	1	467	26	25	去秦陵杀刺猬150只，同伴等级要求不低于15级
同伴修炼任务卷轴22	6	1	468	27	35	去秦始皇陵地下一层杀铁爪50个，同伴等级要求不低于25级
同伴修炼任务卷轴23	6	1	469	28	35	去秦始皇陵地下一层杀铁爪100个，同伴等级要求不低于25级
同伴修炼任务卷轴24	6	1	470	29	35	去秦始皇陵地下一层杀铁爪150个，同伴等级要求不低于25级
同伴修炼任务卷轴25	6	1	471	30	75	去秦始皇陵地下二层杀红蝠50只，同伴等级要求不低于65级
同伴修炼任务卷轴26	6	1	472	31	75	去秦始皇陵地下二层杀红蝠50只，同伴等级要求不低于65级
同伴修炼任务卷轴27	6	1	473	32	75	去秦始皇陵地下二层杀红蝠50只，同伴等级要求不低于65级
同伴修炼任务卷轴28	6	1	474	33	85	去秦始皇陵地下三层杀木人50个，同伴等级要求不低于75级
同伴修炼任务卷轴29	6	1	475	34	85	去秦始皇陵地下三层杀木人100个，同伴等级要求不低于75级
同伴修炼任务卷轴30	6	1	476	35	85	去秦始皇陵地下三层杀木人150个，同伴等级要求不低于75级
同伴修炼任务卷轴31	6	1	477	36	85	去冰河洞迷宫杀飞镰50个，同伴等级要求不低于75级
同伴修炼任务卷轴32	6	1	478	37	85	去冰河洞迷宫杀飞镰100个，同伴等级要求不低于75级
同伴修炼任务卷轴33	6	1	479	38	85	去冰河洞迷宫杀飞镰150个，同伴等级要求不低于75级
同伴修炼任务卷轴34	6	1	480	39	10	去永乐镇外杀白猪50只，同伴等级要求不低于1级
同伴修炼任务卷轴35	6	1	481	40	10	去永乐镇外杀白猪100只，同伴等级要求不低于1级
同伴修炼任务卷轴36	6	1	482	41	10	去永乐镇外杀白猪150只，同伴等级要求不低于1级
同伴修炼任务卷轴37	6	1	483	42	75	去长江源头杀恶尼50个，同伴等级要求不低于65级
同伴修炼任务卷轴38	6	1	484	43	75	去长江源头杀恶尼100个，同伴等级要求不低于65级
同伴修炼任务卷轴39	6	1	485	44	75	去长江源头杀恶尼150个，同伴等级要求不低于65级
同伴修炼任务卷轴40	6	1	486	45	85	去雁石洞迷宫杀黑巾50个，同伴等级要求不低于75级
同伴修炼任务卷轴41	6	1	487	46	85	去雁石洞迷宫杀黑巾100个，同伴等级要求不低于75级
同伴修炼任务卷轴42	6	1	488	47	85	去雁石洞迷宫杀黑巾150个，同伴等级要求不低于75级
同伴修炼任务卷轴43	6	1	489	48	15	去成都城外杀刺猬50只，同伴等级要求不低于5级
同伴修炼任务卷轴44	6	1	490	49	15	去成都城外杀刺猬100只，同伴等级要求不低于5级
同伴修炼任务卷轴45	6	1	491	50	15	去成都城外杀刺猬150只，同伴等级要求不低于5级
同伴修炼任务卷轴46	6	1	492	51	55	去成都信相寺后院地道迷宫杀凶僧50个，同伴等级要求不低于45级
同伴修炼任务卷轴47	6	1	493	52	55	去成都信相寺后院地道迷宫杀凶僧100个，同伴等级要求不低于45级
同伴修炼任务卷轴48	6	1	494	53	55	去成都信相寺后院地道迷宫杀凶僧150个，同伴等级要求不低于45级
同伴修炼任务卷轴49	6	1	495	54	15	去峨嵋派外杀马猴50只，同伴等级要求不低于5级
同伴修炼任务卷轴50	6	1	496	55	15	去峨嵋派外杀马猴100只，同伴等级要求不低于5级
同伴修炼任务卷轴51	6	1	497	56	15	去峨嵋派外杀马猴150只，同伴等级要求不低于5级
同伴修炼任务卷轴52	6	1	498	57	25	去猛虎洞穴迷宫杀白煞虎50只，同伴等级要求不低于15级
同伴修炼任务卷轴53	6	1	499	58	25	去猛虎洞穴迷宫杀白煞虎100只，同伴等级要求不低于15级
同伴修炼任务卷轴54	6	1	500	59	25	去猛虎洞穴迷宫杀白煞虎150只，同伴等级要求不低于15级
同伴修炼任务卷轴55	6	1	501	60	25	去剑阁西南杀刺猬50个，同伴等级要求不低于15级
同伴修炼任务卷轴56	6	1	502	61	25	去剑阁西南杀刺猬100个，同伴等级要求不低于15级
同伴修炼任务卷轴57	6	1	503	62	25	去剑阁西南杀刺猬150个，同伴等级要求不低于15级
同伴修炼任务卷轴58	6	1	504	63	10	去江津村外杀白猪50只，同伴等级要求不低于1级
同伴修炼任务卷轴59	6	1	505	64	10	去江津村外杀白猪100只，同伴等级要求不低于1级
同伴修炼任务卷轴60	6	1	506	65	10	去江津村外杀白猪150只，同伴等级要求不低于1级
同伴修炼任务卷轴61	6	1	507	66	45	去青城山杀金雕50只，同伴等级要求不低于35级
同伴修炼任务卷轴62	6	1	508	67	45	去青城山杀金雕100只，同伴等级要求不低于35级
同伴修炼任务卷轴63	6	1	509	68	45	去青城山杀金雕150只，同伴等级要求不低于35级
同伴修炼任务卷轴64	6	1	510	69	35	去白云洞迷宫杀流浪50个，同伴等级要求不低于25级
同伴修炼任务卷轴65	6	1	511	70	35	去白云洞迷宫杀流浪100个，同伴等级要求不低于25级
同伴修炼任务卷轴66	6	1	512	71	35	去白云洞迷宫杀流浪150个，同伴等级要求不低于25级
同伴修炼任务卷轴67	6	1	513	72	45	去神仙洞迷宫杀长刀50个，同伴等级要求不低于35级
同伴修炼任务卷轴68	6	1	514	73	45	去神仙洞迷宫杀长刀100个，同伴等级要求不低于35级
同伴修炼任务卷轴69	6	1	515	74	45	去神仙洞迷宫杀长刀150个，同伴等级要求不低于35级
同伴修炼任务卷轴70	6	1	516	75	55	去响水洞迷宫杀蓝巾50个，同伴等级要求不低于45级
同伴修炼任务卷轴71	6	1	517	76	55	去响水洞迷宫杀蓝巾100个，同伴等级要求不低于45级
同伴修炼任务卷轴72	6	1	518	77	55	去响水洞迷宫杀蓝巾150个，同伴等级要求不低于45级
同伴修炼任务卷轴73	6	1	519	78	15	去唐门外杀马猴50只，同伴等级要求不低于5级
同伴修炼任务卷轴74	6	1	520	79	15	去唐门外杀马猴100只，同伴等级要求不低于5级
