TaskName	TaskStart	TaskStarted	TaskNow	TaskEnd	TaskFinish	TaskInfo
Tªn nhiÖm vô 	Thêi gian b¾t ®Çu nhiÖm vô 	Sau khi b¾t ®Çu nhiÖm vô 	TiÕn hµnh nhiÖm vô 	Thêi gian kÕt thóc nhiÖm vô 	Thêi gian ph¸t gi¶i	ThuyÕt minh liªn quan nhiÖm vô 
NgÉu nhiªn_S¸t qu¸i_TÈu Th¹ch	<dec><pan>Nghe nãi t¹i {{M¹c Cao QuËt}} cã tªn b¸ ®¹o {{TÈu Th¹ch}}, h¾n nãi ng­êi nµo cã thÓ ®¸nh b¹ii h¾n {{24}} lÇn th× tÊt c¶ nh÷ng b¶o vËt mµ h¾n c­íp ®­îc sÏ thuéc vÒ ng­êi ®ã. H·y ®i t×m vµ ®¸nh b¹i h¾n.	<dec><pan>{{M¹c Cao QuËt}} ®i tõ {{Long M«n TrÊn}}, ®­êng xa hiÓm trë, ®õng quªn mang theo {{Thæ §Þa Phñ}}!			LÇn nµy chóng ta ®· khiÕn h¾n t©m phôc khÈu phôc råi! §Ó xem thu ho¹ch ®­îc g× nµo! 	
NgÉu nhiªn_S¸t qu¸i_Phi Sa	<dec><pan>Nghe nãi t¹i {{M¹c Cao QuËt}} cã tªn b¸ ®¹o {{Phi Sa}}, h¾n nãi ng­êi nµo cã thÓ ®¸nh b¹ii h¾n {{24}} lÇn th× tÊt c¶ nh÷ng b¶o vËt mµ h¾n c­íp ®­îc sÏ thuéc vÒ ng­êi ®ã. H·y ®i t×m vµ ®¸nh b¹i h¾n.	<dec><pan>{{M¹c Cao QuËt}} ®i tõ {{Long M«n TrÊn}}, ®­êng xa hiÓm trë, ®õng quªn mang theo {{Thæ §Þa Phñ}}!			LÇn nµy chóng ta ®· khiÕn h¾n t©m phôc khÈu phôc råi! §Ó xem thu ho¹ch ®­îc g× nµo! 	
NgÉu nhiªn_S¸t qu¸i_M¹c TÆc	<dec><pan>Nghe nãi t¹i {{M¹c Cao QuËt}} cã tªn b¸ ®¹o {{M¹c TÆc}}, h¾n nãi ng­êi nµo cã thÓ ®¸nh b¹ii h¾n {{24}} lÇn th× tÊt c¶ nh÷ng b¶o vËt mµ h¾n c­íp ®­îc sÏ thuéc vÒ ng­êi ®ã. H·y ®i t×m vµ ®¸nh b¹i h¾n.	<dec><pan>{{M¹c Cao QuËt}} ®i tõ {{Long M«n TrÊn}}, ®­êng xa hiÓm trë, ®õng quªn mang theo {{Thæ §Þa Phñ}}!			LÇn nµy chóng ta ®· khiÕn h¾n t©m phôc khÈu phôc råi! §Ó xem thu ho¹ch ®­îc g× nµo! 	
NgÉu nhiªn_S¸t qu¸i_Sa §¹o	<dec><pan>Nghe nãi t¹i {{M¹c Cao QuËt}} cã tªn b¸ ®¹o {{Sa §¹o}}, h¾n nãi ng­êi nµo cã thÓ ®¸nh b¹ii h¾n {{24}} lÇn th× tÊt c¶ nh÷ng b¶o vËt mµ h¾n c­íp ®­îc sÏ thuéc vÒ ng­êi ®ã. H·y ®i t×m vµ ®¸nh b¹i h¾n.	<dec><pan>{{M¹c Cao QuËt}} ®i tõ {{Long M«n TrÊn}}, ®­êng xa hiÓm trë, ®õng quªn mang theo {{Thæ §Þa Phñ}}!			LÇn nµy chóng ta ®· khiÕn h¾n t©m phôc khÈu phôc råi! §Ó xem thu ho¹ch ®­îc g× nµo! 	
NgÉu nhiªn_S¸t qu¸i_§ao Tr¶m (Tr­êng B¹ch b¾c) 	<dec><pan>Nghe nãi ë {{Tr­êng B¹ch S¬n B¾c Léc}} cã mét sè tªn ¸c b¸ gäi lµ {{§ao tr¶m}}, vèn lµ nh÷ng chiÕn sü do Kim binh ph¸i tíi ph­¬ng nam. H·y ®i ®¸nh b¹i chóng {{24}} lÇn nh»m môc ®Ých r¨n ®e kÎ thï.	<dec><pan>{{Tr­êng B¹ch S¬n B¾c Léc}} cã thÓ ®i tõ {{BiÖn Kinh}} qua  {{L©m Du Quan}}, ®­êng xa hiÓm trë nhí ®õng quªn mang theo {{Thæ ®Þa phï}}!			LÇn nµy chóng ta ®· khiÕn h¾n t©m phôc khÈu phôc råi! §Ó xem thu ho¹ch ®­îc g× nµo! 	
NgÉu nhiªn_S¸t qu¸i_ L¹c Quang (Tr­êng B¹ch b¾c) 	<dec><pan>Nghe nãi ë {{Tr­êng B¹ch S¬n B¾c Léc}} cã mét sè tªn ¸c b¸ gäi lµ {{L¹c Quang}}, vèn lµ nh÷ng chiÕn sü do Kim binh ph¸i tíi ph­¬ng nam. H·y ®i ®¸nh b¹i chóng {{24}} lÇn nh»m môc ®Ých r¨n ®e kÎ thï.	<dec><pan>{{Tr­êng B¹ch S¬n B¾c Léc}} cã thÓ ®i tõ {{BiÖn Kinh}} qua  {{L©m Du Quan}}, ®­êng xa hiÓm trë nhí ®õng quªn mang theo {{Thæ ®Þa phï}}!			LÇn nµy chóng ta ®· khiÕn h¾n t©m phôc khÈu phôc råi! §Ó xem thu ho¹ch ®­îc g× nµo! 	
NgÉu nhiªn_S¸t qu¸i_ Hµn Th­¬ng (Tr­êng B¹ch b¾c) 	<dec><pan>Nghe nãi ë {{Tr­êng B¹ch S¬n B¾c Léc}} cã mét sè tªn ¸c b¸ gäi lµ {{Hµn Th­¬ng}}, vèn lµ nh÷ng chiÕn sü do Kim binh ph¸i tíi ph­¬ng nam. H·y ®i ®¸nh b¹i chóng {{24}} lÇn nh»m môc ®Ých r¨n ®e kÎ thï.	<dec><pan>{{Tr­êng B¹ch S¬n B¾c Léc}} cã thÓ ®i tõ {{BiÖn Kinh}} qua  {{L©m Du Quan}}, ®­êng xa hiÓm trë nhí ®õng quªn mang theo {{Thæ ®Þa phï}}!			LÇn nµy chóng ta ®· khiÕn h¾n t©m phôc khÈu phôc råi! §Ó xem thu ho¹ch ®­îc g× nµo! 	
NgÉu nhiªn_S¸t qu¸i_§o¹t Ph¸ch (Tr­êng B¹ch b¾c) 	<dec><pan>Nghe nãi ë {{Tr­êng B¹ch S¬n B¾c Léc}} cã mét sè tªn ¸c b¸ gäi lµ {{§o¹t Ph¸ch}}, vèn lµ nh÷ng chiÕn sü do Kim binh ph¸i tíi ph­¬ng nam. H·y ®i ®¸nh b¹i chóng {{24}} lÇn nh»m môc ®Ých r¨n ®e kÎ thï.	<dec><pan>{{Tr­êng B¹ch S¬n B¾c Léc}} cã thÓ ®i tõ {{BiÖn Kinh}} qua  {{L©m Du Quan}}, ®­êng xa hiÓm trë nhí ®õng quªn mang theo {{Thæ ®Þa phï}}!			LÇn nµy chóng ta ®· khiÕn h¾n t©m phôc khÈu phôc råi! §Ó xem thu ho¹ch ®­îc g× nµo! 	
NgÉu nhiªn_S¸t qu¸i_ S¶n Vò 	<dec><pan>Nghe nãi ë {{Tr­êng B¹ch S¬n Nam Léc}} cã mét sè tªn ¸c b¸ gäi lµ {{S¶n Vò}}, vèn lµ nh÷ng chiÕn sü do Kim binh ph¸i tíi ph­¬ng nam. H·y ®i ®¸nh b¹i chóng {{24}} lÇn nh»m môc ®Ých r¨n ®e kÎ thï.	<dec><pan>{{Tr­êng B¹ch S¬n Nam Léc}} cã thÓ ®i tõ {{BiÖn Kinh}} qua  {{L©m Du Quan}}, ®­êng xa hiÓm trë nhí ®õng quªn mang theo {{Thæ ®Þa phï}}!			LÇn nµy chóng ta ®· khiÕn h¾n t©m phôc khÈu phôc råi! §Ó xem thu ho¹ch ®­îc g× nµo! 	
