TaskName	TaskType	Genre	Detail	Particular	Level	GoodsFive	Quality	GoodsNum	DelGoods	RecordSeed	Money	KillNpcName	DropRate	TalkNpcName	TalkNpcMap	TaskText
Tªn nhiÖm vô 	Lo¹i h×nh nhiÖm vô 	Tæng lo¹i	Ph©n lo¹i	Lo¹i nhá 	®¼ng cÊp	Ngò Hµnh	M· sè Hoµng Kim	Sè l­îng	cã thÓ xãa	Log ghi l¹i H¹t ngÉu nhiªn	Gi¸ 	M· sè thèng kª sè l­îng qu¸i bŞ giÕt	Tû lÖ r¬i	Tªn nh©n vËt §èi tho¹i	Khu vùc nh©n vËt §èi tho¹i	Miªu t¶ nhiÖm vô 
NgÉu nhiªn_MËt §å_Thu thËp D­îc hoµn 	§èi tho¹i													VÖ binh thµnh m«n	L©m An	
NgÉu nhiªn_MËt §å_Thu thËp D­îc hoµn 	thu thËp vËt phÈm 	6	0	1	n	n		1	1							Tr­êng MÖnh hoµn
NgÉu nhiªn_MËt §å_Thu thËp D­îc hoµn 	thu thËp vËt phÈm 	6	0	2	n	n		1	1							Gia Bµo hoµn
NgÉu nhiªn_MËt §å_Thu thËp D­îc hoµn 	thu thËp vËt phÈm 	6	0	3	n	n		1	1							§¹i Lùc hoµn
NgÉu nhiªn_MËt §å_Thu thËp D­îc hoµn 	thu thËp vËt phÈm 	6	0	4	n	n		1	1							Cao ThiÓm hoµn
NgÉu nhiªn_MËt §å_Thu thËp D­îc hoµn 	thu thËp vËt phÈm 	6	0	5	n	n		1	1							Cao Trung hoµn
NgÉu nhiªn_MËt §å_Thu thËp D­îc hoµn 	thu thËp vËt phÈm 	6	0	6	n	n		1	1							Phi Tèc hoµn
NgÉu nhiªn_MËt §å_Thu thËp D­îc hoµn 	thu thËp vËt phÈm 	6	0	7	n	n		1	1							B¨ng Phßng hoµn
NgÉu nhiªn_MËt §å_Thu thËp D­îc hoµn 	thu thËp vËt phÈm 	6	0	8	n	n		1	1							L«i Phßng hoµn
NgÉu nhiªn_MËt §å_Thu thËp D­îc hoµn 	thu thËp vËt phÈm 	6	0	9	n	n		1	1							Háa Phßng hoµn
NgÉu nhiªn_MËt §å_Thu thËp D­îc hoµn 	thu thËp vËt phÈm 	6	0	10	n	n		1	1							§éc Phßng hoµn

NgÉu nhiªn_MËt §å_Thu thËp S¸t Thñ Gi¶n	§èi tho¹i													NhiÕp Thİ TrÇn	T­¬ng D­¬ng	
NgÉu nhiªn_MËt §å_Thu thËp S¸t Thñ Gi¶n	thu thËp vËt phÈm 	6	1	400	90	0		1	1							S¸t thñ gi¶n cÊp 90 (Kim) 
NgÉu nhiªn_MËt §å_Thu thËp S¸t Thñ Gi¶n	thu thËp vËt phÈm 	6	1	400	90	1		1	1							S¸t thñ gi¶n cÊp 90 (Méc) 
NgÉu nhiªn_MËt §å_Thu thËp S¸t Thñ Gi¶n	thu thËp vËt phÈm 	6	1	400	90	2		1	1							S¸t thñ gi¶n cÊp 90 (Thñy) 
NgÉu nhiªn_MËt §å_Thu thËp S¸t Thñ Gi¶n	thu thËp vËt phÈm 	6	1	400	90	3		1	1							S¸t thñ gi¶n cÊp 90 (Háa) 
NgÉu nhiªn_MËt §å_Thu thËp S¸t Thñ Gi¶n	thu thËp vËt phÈm 	6	1	400	90	4		1	1							S¸t thñ gi¶n cÊp 90 (Thæ) 

NgÉu nhiªn_MËt §å_Thu thËp Kho¸ng Th¹ch	§èi tho¹i													Thî rÌn	Thµnh §«	
NgÉu nhiªn_MËt §å_Thu thËp Kho¸ng Th¹ch	thu thËp vËt phÈm 	6	1	149	n	n		1	1							HuyÒn ThiÕt Nguyªn Kho¸ng
NgÉu nhiªn_MËt §å_Thu thËp Kho¸ng Th¹ch	thu thËp vËt phÈm 	6	1	150	n	0		1	1							Khæng T­íc Nguyªn Th¹ch (Kim) 
NgÉu nhiªn_MËt §å_Thu thËp Kho¸ng Th¹ch	thu thËp vËt phÈm 	6	1	150	n	1		1	1							Khæng T­íc Nguyªn Th¹ch (Méc) 
NgÉu nhiªn_MËt §å_Thu thËp Kho¸ng Th¹ch	thu thËp vËt phÈm 	6	1	150	n	2		1	1							Khæng T­íc Nguyªn Th¹ch (Thñy) 
NgÉu nhiªn_MËt §å_Thu thËp Kho¸ng Th¹ch	thu thËp vËt phÈm 	6	1	150	n	3		1	1							Khæng T­íc Nguyªn Th¹ch (Háa) 
NgÉu nhiªn_MËt §å_Thu thËp Kho¸ng Th¹ch	thu thËp vËt phÈm 	6	1	150	n	4		1	1							Khæng T­íc Nguyªn Th¹ch (Thæ) 
NgÉu nhiªn_MËt §å_Thu thËp Kho¸ng Th¹ch	thu thËp vËt phÈm 	6	1	151	n	n		1	1							MËt Ng©n Nguyªn Kho¸ng
NgÉu nhiªn_MËt §å_Thu thËp Kho¸ng Th¹ch	thu thËp vËt phÈm 	6	1	152	n	0		1	1							Phï Dung Nguyªn Th¹ch (Kim) 
NgÉu nhiªn_MËt §å_Thu thËp Kho¸ng Th¹ch	thu thËp vËt phÈm 	6	1	152	n	1		1	1							Phï Dung Nguyªn Th¹ch (Méc) 
NgÉu nhiªn_MËt §å_Thu thËp Kho¸ng Th¹ch	thu thËp vËt phÈm 	6	1	152	n	2		1	1							Phï Dung Nguyªn Th¹ch (Thñy) 
NgÉu nhiªn_MËt §å_Thu thËp Kho¸ng Th¹ch	thu thËp vËt phÈm 	6	1	152	n	3		1	1							Phï Dung Nguyªn Th¹ch (Háa) 
NgÉu nhiªn_MËt §å_Thu thËp Kho¸ng Th¹ch	thu thËp vËt phÈm 	6	1	152	n	4		1	1							Phï Dung Nguyªn Th¹ch (Thæ) 
NgÉu nhiªn_MËt §å_Thu thËp Kho¸ng Th¹ch	thu thËp vËt phÈm 	6	1	153	n	n		1	1							Chu Sa Nguyªn Kho¸ng
NgÉu nhiªn_MËt §å_Thu thËp Kho¸ng Th¹ch	thu thËp vËt phÈm 	6	1	154	n	0		1	1							Chung Nhò Nguyªn Th¹ch (Kim) 
NgÉu nhiªn_MËt §å_Thu thËp Kho¸ng Th¹ch	thu thËp vËt phÈm 	6	1	154	n	1		1	1							Chung Nhò Nguyªn Th¹ch (Méc) 
NgÉu nhiªn_MËt §å_Thu thËp Kho¸ng Th¹ch	thu thËp vËt phÈm 	6	1	154	n	2		1	1							Chung Nhò Nguyªn Th¹ch (Thñy) 
NgÉu nhiªn_MËt §å_Thu thËp Kho¸ng Th¹ch	thu thËp vËt phÈm 	6	1	154	n	3		1	1							Chung Nhò Nguyªn Th¹ch (Háa) 
NgÉu nhiªn_MËt §å_Thu thËp Kho¸ng Th¹ch	thu thËp vËt phÈm 	6	1	154	n	4		1	1							Chung Nhò Nguyªn Th¹ch (Thæ) 

NgÉu nhiªn_MËt §å_Thu thËp Hoa hång	§èi tho¹i													LÔ Quan	Thµnh §«	
NgÉu nhiªn_MËt §å_Thu thËp Hoa hång	thu thËp vËt phÈm 	6	0	20	n	n		9	1							9 Hoa hång

NgÉu nhiªn_MËt §å_Thu thËp MËt tŞch kü n¨ng (§­êng M«n) 	§èi tho¹i													Qu¶n Gia	§­êng M«n	
NgÉu nhiªn_MËt §å_Thu thËp MËt tŞch kü n¨ng (§­êng M«n) 	thu thËp vËt phÈm 	6	1	27	n	n		1	1							Tô TiÔn thuËt. B¹o Vò Lª Hoa
NgÉu nhiªn_MËt §å_Thu thËp MËt tŞch kü n¨ng (§­êng M«n) 	thu thËp vËt phÈm 	6	1	28	n	n		1	1							H·m TÜnh thuËt.Lo¹n Hoµn Kİch
NgÉu nhiªn_MËt §å_Thu thËp MËt tŞch kü n¨ng (§­êng M«n) 	thu thËp vËt phÈm 	6	1	45	n	n		1	1							Phi §ao thuËt. NhiÕp Hån NguyÖt ¶nh
NgÉu nhiªn_MËt §å_Thu thËp MËt tŞch kü n¨ng (§­êng M«n) 	thu thËp vËt phÈm 	6	1	46	n	n		1	1							Phi Tiªu thuËt. Cöu Cung Phi Tinh

NgÉu nhiªn_MËt §å_Thu thËp MËt tŞch kü n¨ng (Ngò §éc) 	§èi tho¹i													Qu¶n Gia	§­êng M«n	
NgÉu nhiªn_MËt §å_Thu thËp MËt tŞch kü n¨ng (Ngò §éc) 	thu thËp vËt phÈm 	6	1	47	n	n		1	1							Ngò §éc Ch­ëng Ph¸p. QuyÓn 1
NgÉu nhiªn_MËt §å_Thu thËp MËt tŞch kü n¨ng (Ngò §éc) 	thu thËp vËt phÈm 	6	1	48	n	n		1	1							Ngò §éc §ao ph¸p. QuyÓn 2
NgÉu nhiªn_MËt §å_Thu thËp MËt tŞch kü n¨ng (Ngò §éc) 	thu thËp vËt phÈm 	6	1	49	n	n		1	1							Ngò §éc NhiÕp T©m thuËt. QuyÓn 3

NgÉu nhiªn_MËt §å_Thu thËp MËt tŞch kü n¨ng (Nga Mi) 	§èi tho¹i													Qu¶n Gia	§­êng M«n	
NgÉu nhiªn_MËt §å_Thu thËp MËt tŞch kü n¨ng (Nga Mi) 	thu thËp vËt phÈm 	6	1	42	n	n		1	1							DiÖt KiÕm MËt TŞch
NgÉu nhiªn_MËt §å_Thu thËp MËt tŞch kü n¨ng (Nga Mi) 	thu thËp vËt phÈm 	6	1	43	n	n		1	1							Nga Mi  PhËt Quang Ch­ëng MËt TŞch
NgÉu nhiªn_MËt §å_Thu thËp MËt tŞch kü n¨ng (Nga Mi) 	thu thËp vËt phÈm 	6	1	59	n	n		1	1							Phæ §é MËt TŞch

NgÉu nhiªn_MËt §å_Thu thËpThóy Yªn MËt tŞch kü n¨ng	§èi tho¹i													Qu¶n Gia	§­êng M«n	
NgÉu nhiªn_MËt §å_Thu thËpThóy Yªn MËt tŞch kü n¨ng	thu thËp vËt phÈm 	6	1	40	n	n		1	1							Thóy Yªn §ao ph¸p
NgÉu nhiªn_MËt §å_Thu thËpThóy Yªn MËt tŞch kü n¨ng	thu thËp vËt phÈm 	6	1	41	n	n		1	1							Thóy Yªn Song ®ao

NgÉu nhiªn_MËt §å_Thu thËpC¸i Bang MËt tŞch kü n¨ng	§èi tho¹i													Qu¶n Gia	§­êng M«n	
NgÉu nhiªn_MËt §å_Thu thËpC¸i Bang MËt tŞch kü n¨ng	thu thËp vËt phÈm 	6	1	54	n	n		1	1							C¸i Bang Ch­ëng Ph¸p
NgÉu nhiªn_MËt §å_Thu thËpC¸i Bang MËt tŞch kü n¨ng	thu thËp vËt phÈm 	6	1	55	n	n		1	1							C¸i Bang C«n ph¸p

NgÉu nhiªn_MËt §å_Thu thËp MËt tŞch kü n¨ng Thiªn NhÉn	§èi tho¹i													Qu¶n Gia	§­êng M«n	
NgÉu nhiªn_MËt §å_Thu thËp MËt tŞch kü n¨ng Thiªn NhÉn	thu thËp vËt phÈm 	6	1	35	n	n		1	1							V©n Long Kİch. M©u ph¸p
NgÉu nhiªn_MËt §å_Thu thËp MËt tŞch kü n¨ng Thiªn NhÉn	thu thËp vËt phÈm 	6	1	36	n	n		1	1							L­u Tinh. §ao ph¸p
NgÉu nhiªn_MËt §å_Thu thËp MËt tŞch kü n¨ng Thiªn NhÉn	thu thËp vËt phÈm 	6	1	53	n	n		1	1							NhiÕp Hån. Chó thuËt

NgÉu nhiªn_MËt §å_Thu thËpVâ §ang MËt tŞch kü n¨ng	§èi tho¹i													Qu¶n Gia	§­êng M«n	
NgÉu nhiªn_MËt §å_Thu thËpVâ §ang MËt tŞch kü n¨ng	thu thËp vËt phÈm 	6	1	33	n	n		1	1							Th¸i Cùc QuyÒn Phæ. QuyÓn 3
NgÉu nhiªn_MËt §å_Thu thËpVâ §ang MËt tŞch kü n¨ng	thu thËp vËt phÈm 	6	1	34	n	n		1	1							Th¸i Cùc KiÕm Phæ. QuyÓn 2

NgÉu nhiªn_MËt §å_Thu thËp MËt tŞch kü n¨ng C«n L«n	§èi tho¹i													Qu¶n Gia	§­êng M«n	
NgÉu nhiªn_MËt §å_Thu thËp MËt tŞch kü n¨ng C«n L«n	thu thËp vËt phÈm 	6	1	50	n	n		1	1							Ngù Phong thuËt
NgÉu nhiªn_MËt §å_Thu thËp MËt tŞch kü n¨ng C«n L«n	thu thËp vËt phÈm 	6	1	51	n	n		1	1							Ngù L«i thuËt
NgÉu nhiªn_MËt §å_Thu thËp MËt tŞch kü n¨ng C«n L«n	thu thËp vËt phÈm 	6	1	52	n	n		1	1							Ngù T©m thuËt

NgÉu nhiªn_MËt §å_Thu thËp ThiÕu L©m MËt tŞch kü n¨ng	§èi tho¹i													Qu¶n Gia	§­êng M«n	
NgÉu nhiªn_MËt §å_Thu thËp ThiÕu L©m MËt tŞch kü n¨ng	thu thËp vËt phÈm 	6	1	56	n	n		1	1							ThiÕu L©m QuyÒn Ph¸p. QuyÓn 1
NgÉu nhiªn_MËt §å_Thu thËp ThiÕu L©m MËt tŞch kü n¨ng	thu thËp vËt phÈm 	6	1	57	n	n		1	1							ThiÕu L©m C«n ph¸p. QuyÓn 2
NgÉu nhiªn_MËt §å_Thu thËp ThiÕu L©m MËt tŞch kü n¨ng	thu thËp vËt phÈm 	6	1	58	n	n		1	1							ThiÕu L©m §ao ph¸p. QuyÓn 3

NgÉu nhiªn_MËt §å_Thu thËp MËt tŞch kü n¨ng Thiªn V­¬ng	§èi tho¹i													Qu¶n Gia	§­êng M«n	
NgÉu nhiªn_MËt §å_Thu thËp MËt tŞch kü n¨ng Thiªn V­¬ng	thu thËp vËt phÈm 	6	1	37	n	n		1	1							Thiªn V­¬ng Chïy Ph¸p. QuyÓn 1
NgÉu nhiªn_MËt §å_Thu thËp MËt tŞch kü n¨ng Thiªn V­¬ng	thu thËp vËt phÈm 	6	1	38	n	n		1	1							Thiªn V­¬ng Th­¬ng ph¸p. QuyÓn 2
NgÉu nhiªn_MËt §å_Thu thËp MËt tŞch kü n¨ng Thiªn V­¬ng	thu thËp vËt phÈm 	6	1	39	n	n		1	1							Thiªn V­¬ng §ao ph¸p.QuyÓn 3

NgÉu nhiªn_MËt §å_Thu thËp mét bé Thiªn Hoµng 	§èi tho¹i													TrÇn Tam B¶o	BiÖn Kinh	
