TaskName	Rate10	Rate20	Rate30	Rate40	Rate50	Rate60	Rate70	Rate80	Rate90	Rate100
Tªn nhiÖm vô 	cÊp ®é 10	cÊp ®é 20	cÊp ®é 30	cÊp ®é 40	cÊp ®é 50	 cÊp ®é 60	cÊp ®é 70	cÊp ®é 80	cÊp ®é 90	cÊp ®é 100
NgÉu nhiªn_Thu thËp_Tr­êng MÖnh hoµn	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
NgÉu nhiªn_Thu thËp_Gia Bµo hoµn	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
NgÉu nhiªn_Thu thËp_Cao ThiÓm hoµn	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
NgÉu nhiªn_Thu thËp_Cao Trung hoµn	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
NgÉu nhiªn_Thu thËp_B¨ng Phßng hoµn	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
NgÉu nhiªn_Thu thËp_L«i phßng hoµn	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
NgÉu nhiªn_Thu thËp_Háa phßng hoµn	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
NgÉu nhiªn_Thu thËp_§éc phßng hoµn	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
NgÉu nhiªn_Thu thËp_HuyÒn ThiÕt Nguyªn Kho¸ng	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
NgÉu nhiªn_Thu thËp_Khæng T­íc Nguyªn Th¹ch 	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
NgÉu nhiªn_Thu thËp_MËt Ng©n Nguyªn Kho¸ng	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
NgÉu nhiªn_Thu thËp_Phï Dung Nguyªn Th¹ch 	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
NgÉu nhiªn_Thu thËp_Chu Sa Nguyªn Kho¸ng	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
NgÉu nhiªn_Thu thËp_Chung Nhò Nguyªn Th¹ch 	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
NgÉu nhiªn_Thu thËp_S¸t Thñ Gi¶n cÊp 90 (Kim) 	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000
NgÉu nhiªn_Thu thËp__S¸t Thñ Gi¶n cÊp 90 (Méc) 	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000
NgÉu nhiªn_Thu thËp_ S¸t Thñ Gi¶n cÊp 90 (Thñy) 	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000
NgÉu nhiªn_Thu thËp_ S¸t Thñ Gi¶n cÊp 90 (Háa) 	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000
NgÉu nhiªn_Thu thËp_ S¸t Thñ Gi¶n cÊp 90 (Thæ) 	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000
NgÉu nhiªn_Thu thËp_Ph¸o Hoa	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
NgÉu nhiªn_Thu thËp_T©m T©m	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
NgÉu nhiªn_Thu thËp_Thiªn s¬n  B¶o Lé 	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
NgÉu nhiªn_Thu thËp_B¸ch Qu¶ Lé 	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
NgÉu nhiªn_Thu thËp_TiÓu Phóc Duyªn	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000
NgÉu nhiªn_Thu thËp_§¹i Phóc Duyªn	3000	3000	3000	3000	3000	3000	3000	3000	3000	3000
