TaskName	AwardType	Genre	Detail	Particular	Level	GoodsFive	Quality	GoodsNum	MoneyNum	ExpNum	ReputeNum	AwardTask	SelectEvent	ArrayID	ArrayRate	AwardText
Tªn nhiÖm vô 	Lo¹i h×nh phÇn th­ëng	Tæng lo¹i	Ph©n lo¹i	Lo¹i nhá 	®¼ng cÊp	Ngò Hµnh	Trang bŞ Hoµng Kim	Sè l­îng vËt phÈm	TiÒn	kinh nghiÖm 	Danh väng	Tªn nhiÖm vô b¾t ®Çu	Chän ngÉu nhiªn trong sù kiÖn	Nhãm sè ID, tèi ®a 3	Tû lÖ (%) trong nhãm sè 	tªn phÇn th­ëng
NgÉu nhiªn_§èi tho¹i_Thóy Yªn Hµ Mé TuyÕt	kinh nghiÖm 									1000				1	99	1.000 ®iÓm kinh nghiÖm 
NgÉu nhiªn_§èi tho¹i_Thóy Yªn Hµ Mé TuyÕt	NgÉu nhiªn_MËt ®å nhiÖm vô 													1	1	1 MËt ®å nhiÖm vô 
NgÉu nhiªn_§èi tho¹i_Thóy Yªn Hµ Mé TuyÕt	kinh nghiÖm 									5000						5.000 ®iÓm kinh nghiÖm 
NgÉu nhiªn_§èi tho¹i__ Chñ d­îc ®iÕm (T­¬ng D­¬ng) 	kinh nghiÖm 									10000				1	98	10.000 ®iÓm kinh nghiÖm 
NgÉu nhiªn_§èi tho¹i__ Chñ d­îc ®iÕm (T­¬ng D­¬ng) 	NgÉu nhiªn_MËt ®å nhiÖm vô 													1	2	1 MËt ®å nhiÖm vô 
NgÉu nhiªn_§èi tho¹i__ Chñ d­îc ®iÕm (T­¬ng D­¬ng) 	kinh nghiÖm 									15000						15.000 ®iÓm kinh nghiÖm 
NgÉu nhiªn_§èi tho¹i_Häc trß thî rÌn (Thµnh §«) 	kinh nghiÖm 									5000				1	98	5.000 ®iÓm kinh nghiÖm 
NgÉu nhiªn_§èi tho¹i_Häc trß thî rÌn (Thµnh §«) 	NgÉu nhiªn_MËt ®å nhiÖm vô 													1	2	1 MËt ®å nhiÖm vô 
NgÉu nhiªn_§èi tho¹i_Häc trß thî rÌn (Thµnh §«) 	kinh nghiÖm 									10000						10.000 ®iÓm kinh nghiÖm 
NgÉu nhiªn_§èi tho¹i_ T©n NhŞ ThÈm (Thµnh §«) 	kinh nghiÖm 									8000				1	96	8.000 ®iÓm kinh nghiÖm 
NgÉu nhiªn_§èi tho¹i_ T©n NhŞ ThÈm (Thµnh §«) 	NgÉu nhiªn_MËt ®å nhiÖm vô 													1	4	1 MËt ®å nhiÖm vô 
NgÉu nhiªn_§èi tho¹i_ T©n NhŞ ThÈm (Thµnh §«) 	kinh nghiÖm 									12000						12.000 ®iÓm kinh nghiÖm 
NgÉu nhiªn_§èi tho¹i__DŞch Quan_D­¬ng Ch©u	B¾t ®Çu nhiÖm vô 											NgÉu nhiªn_§èi tho¹i__DŞch Quan_D­¬ng Ch©u_01				
NgÉu nhiªn_§èi tho¹i__DŞch Quan_D­¬ng Ch©u_01	kinh nghiÖm 									5000				1	90	5.000 ®iÓm kinh nghiÖm 
NgÉu nhiªn_§èi tho¹i__DŞch Quan_D­¬ng Ch©u_01	NgÉu nhiªn_MËt ®å nhiÖm vô 													1	10	1 MËt ®å nhiÖm vô 
NgÉu nhiªn_§èi tho¹i__DŞch Quan_D­¬ng Ch©u_01	kinh nghiÖm 									10000						10.000 ®iÓm kinh nghiÖm 
NgÉu nhiªn_§èi tho¹i_ThÈm Phong (D­¬ng Ch©u) 	B¾t ®Çu nhiÖm vô 											NgÉu nhiªn_§èi tho¹i_ThÈm Phong (D­¬ng Ch©u) _01				
NgÉu nhiªn_§èi tho¹i_ThÈm Phong (D­¬ng Ch©u) _01	kinh nghiÖm 									5000				1	90	5.000 ®iÓm kinh nghiÖm 
NgÉu nhiªn_§èi tho¹i_ThÈm Phong (D­¬ng Ch©u) _01	NgÉu nhiªn_MËt ®å nhiÖm vô 													1	10	1 MËt ®å nhiÖm vô 
NgÉu nhiªn_§èi tho¹i_ThÈm Phong (D­¬ng Ch©u) _01	kinh nghiÖm 									10000						10.000 ®iÓm kinh nghiÖm 
