MapName	MapID	WorldX	WorldY	MapX	MapY	Text	Pic
Tªn khu vùc	ID khu vùc	Trôc täa ®é lín X	Trôc täa ®é lín Y	Trôc täa ®é nhá X	Trôc täa ®é nhá Y	ThuyÕt minh	§­êng dÉn file
Giang T©n Th«n	20	3734	6288	466	393	khe suèi tr­íc Phï Dung ®éng Giang T©n th«n	spr\treasure\show_001.spr
Giang T©n Th«n	20	3453	5940	431	369	D­íi c©y §µo phÝa T©y Giang T©n th«n	spr\treasure\show_002.spr
Giang T©n Th«n	20	3837	6131	479	383	D­íi t¶ng ®¸ phÝa §«ngGiang T©n th«n	spr\treasure\show_003.spr
Giang T©n Th«n	20	3559	6445	444	402	ë gi÷a cÇu gç phÝa Nam Giang T©n th«n	spr\treasure\show_004.spr
Nam Nh¹c trÊn	54	1466	3099	183	193	gi÷a mé bia trong gß ®Êt hoang 	spr\treasure\show_005.spr
Nam Nh¹c trÊn	54	1706	3057	213	191	T¶ng ®¸ lín phÝa B¾c Nam Nh¹c trÊn	spr\treasure\show_006.spr
Nam Nh¹c trÊn	54	1624	3041	203	190	D­íi gèc c©y Phong tr­íc ThiÒn ViÖn	spr\treasure\show_007.spr
Nam Nh¹c trÊn	54	1525	3061	190	191	D­íi gèc c©y Phong ®Çu tiªn Cöa T©y	spr\treasure\show_008.spr
Nam Nh¹c trÊn	54	1452	3013	181	188	D­íi gèc c©y l¸ ®á c¹nh ®×nh ph¸i t©y	spr\treasure\show_009.spr
Ba L¨ng huyÖn	53	1806	3148	225	196	BÕn tµu h­íng §«ng	spr\treasure\show_010.spr
Ba L¨ng huyÖn	53	1568	3212	196	200	D­íi gèc c©y Phong trong s©n Du Cöu Ch©u	spr\treasure\show_011.spr
Ba L¨ng huyÖn	53	1608	3196	201	199	Cöa vµo Ba L¨ng huyÖn	spr\treasure\show_012.spr
Ba L¨ng huyÖn	53	1471	3370	183	210	C©y cÇu nhá thø 3 phÝa Nam	spr\treasure\show_013.spr
Ba L¨ng huyÖn	53	1793	3385	224	211	c¹nh lèi vµo Vò L¨ng ®éng	spr\treasure\show_014.spr
Long TuyÒn th«n	174	1783	3045	222	190	Bªn hå nhá h­íng B¾c	spr\treasure\show_015.spr
Long TuyÒn th«n	174	1667	3146	208	196	Bªn nÊm må h­íng B¾c	spr\treasure\show_016.spr
Long TuyÒn th«n	174	1480	3071	185	191	Tr­íc Thanh Khª ®éng	spr\treasure\show_017.spr
Long TuyÒn th«n	174	1638	3509	204	219	Gi÷a hai t¶ng ®¸ lín h­íng Nam	spr\treasure\show_018.spr
Long TuyÒn th«n	174	1609	3306	201	206	Bªn c¸i ®Çm nhá phÝa tr­íc	spr\treasure\show_019.spr
Long TuyÒn th«n	174	1600	3054	200	190	Gi÷a hai t¶ng ®¸ lín phÝa T©y	spr\treasure\show_020.spr
Th¹ch Cæ trÊn	153	1455	2901	181	181	Tßa th¸p phÝa T©y	spr\treasure\show_021.spr
Th¹ch Cæ trÊn	153	1708	2964	213	185	Bªn ®Çm hoa sen phÝa B¾c	spr\treasure\show_022.spr
Th¹ch Cæ trÊn	153	1756	3175	219	198	D­íi t­êng ®¸ phÝa §«ng	spr\treasure\show_023.spr
Th¹ch Cæ trÊn	153	1751	3528	218	220	Bªn Khe suèi phÝa Nam	spr\treasure\show_024.spr
Th¹ch Cæ trÊn	153	1411	3323	175	207	Bê hå phÝa T©y	spr\treasure\show_025.spr
Th¹ch Cæ trÊn	153	1441	3044	180	190	Tr­íc V« Danh ®éng phÝa T©y	spr\treasure\show_026.spr
§¹o H­¬ng th«n	101	1659	2852	207	178	Bªn ®Çm nhá phÝa B¾c	spr\treasure\show_027.spr
§¹o H­¬ng th«n	101	1454	2971	181	185	Trªn cÇu nhá phÝa B¾c	spr\treasure\show_028.spr
§¹o H­¬ng th«n	101	1495	3171	186	198	Trªn Tµn Th¸p phÝa T©y	spr\treasure\show_029.spr
§¹o H­¬ng th«n	101	1818	3140	227	196	D­íi Thanh Th¹ch ë cöa phÝa §«ng	spr\treasure\show_030.spr
§¹o H­¬ng th«n	101	1666	2966	208	185	GÇn Vâ S­ h­íng B¾c	spr\treasure\show_031.spr
VÜnh L¹c trÊn	99	1739	3569	217	223	Gi÷a rõng th¸p phÝa §«ng	spr\treasure\show_032.spr
VÜnh L¹c trÊn	99	1449	3461	181	216	t¶ng ®¸ ph¸i nam	spr\treasure\show_033.spr
VÜnh L¹c trÊn	99	1477	3351	184	209	Tr­íc B¨ng Hµ ®éng phÝa Nam	spr\treasure\show_034.spr
VÜnh L¹c trÊn	99	1506	3052	188	190	Tr­íc Tµn Th¸p h­íng B¾c	spr\treasure\show_035.spr
VÜnh L¹c trÊn	99	1809	3453	226	215	Gi÷a Lo¹n Th¹ch C­¬ng h­íng §«ng	spr\treasure\show_036.spr
