TaskID	TaskName	EventID	TaskType	CanCancel	TaskText
ID nhiÖm vô 	Tªn nhiÖm vô 	ID sù kiÖn	TÊt c¶ c¸c vÊn ®Ò liªn quan ®Õn sù kiÖn	 cã thÓ hñy bá	Miªu t¶ s¬ l­îc nhiÖm vô 
101	NgÉu nhiªn_§èi tho¹i_Thóy Yªn Hµ Mé TuyÕt	3	NgÉu nhiªn_§èi tho¹i	0	NhiÖm vô tÆng hoa cho Hµ Mé TuyÕt
102	NgÉu nhiªn_§èi tho¹i__ Chñ d­îc ®iÕm (T­¬ng D­¬ng) 	3	NgÉu nhiªn_§èi tho¹i	0	Giao 10 Ngò Hoa Ngäc Lé Hoµn cho chñ D­îc §iÕm T­¬ng D­¬ng
103	NgÉu nhiªn_§èi tho¹i_VÖ binh nha m«n	3	NgÉu nhiªn_§èi tho¹i	0	NhiÖm vô chuyÓn lêi cho_VÖ binh nha m«n
104	NgÉu nhiªn_§èi tho¹i_Häc trß thî rÌn (Thµnh §«) 	3	NgÉu nhiªn_§èi tho¹i	0	NhiÖm vô ®­a ph¸o hoa cho häc trß thî rÌn
105	NgÉu nhiªn_§èi tho¹i_ T©n NhŞ ThÈm (Thµnh §«) 	3	NgÉu nhiªn_§èi tho¹i	0	NhiÖm vô ®­a 3 ¤ §Çu Hoµn ThÇn §¬n cho T©n NhŞ ThÈm (Thµnh §«) 
106	NgÉu nhiªn_§èi tho¹i__DŞch Quan_D­¬ng Ch©u	3	NgÉu nhiªn_§èi tho¹i	0	NhiÖm vô chuyÓn lêi gióp DŞch Quan D­¬ng Ch©u
107	NgÉu nhiªn_§èi tho¹i__DŞch Quan_D­¬ng Ch©u_01	3	NgÉu nhiªn_§èi tho¹i	0	NhiÖm vô chuyÓn lêi gióp DŞch Quan D­¬ng Ch©u
108	NgÉu nhiªn_§èi tho¹i_ThÈm Phong (D­¬ng Ch©u) 	3	NgÉu nhiªn_§èi tho¹i	0	NhiÖm vô chuyÓn lêi gióp ThÈm Phong (D­¬ng Ch©u) 
109	NgÉu nhiªn_§èi tho¹i_ThÈm Phong (D­¬ng Ch©u) _01	3	NgÉu nhiªn_§èi tho¹i	0	NhiÖm vô chuyÓn lêi gióp ThÈm Phong (D­¬ng Ch©u) 

201	NgÉu nhiªn_Thu thËp_Tr­êng MÖnh hoµn	3	NgÉu nhiªn_Thu thËp	0	Mang 2 Tr­êng MÖnh hoµn cho vÖ binh L©m An.
202	NgÉu nhiªn_Thu thËp_Gia Bµo hoµn	3	NgÉu nhiªn_Thu thËp	0	Mang 2 Gia Bµo Hoµn cho vÖ binh L©m An 
204	NgÉu nhiªn_Thu thËp_Cao ThiÓm hoµn	3	NgÉu nhiªn_Thu thËp	0	Mang 2 Cao ThiÓm hoµn cho vÖ binh L©m An 
205	NgÉu nhiªn_Thu thËp_Cao Trung hoµn	3	NgÉu nhiªn_Thu thËp	0	Mang 2 Cao Trung hoµn cho vÖ binh L©m An 
207	NgÉu nhiªn_Thu thËp_B¨ng Phßng hoµn	3	NgÉu nhiªn_Thu thËp	0	Mang 2 B¨ng Phßng hoµn cho vÖ binh L©m An 
208	NgÉu nhiªn_Thu thËp_L«i phßng hoµn	3	NgÉu nhiªn_Thu thËp	0	Mang 2 L«i phßng hoµn cho vÖ binh L©m An 
209	NgÉu nhiªn_Thu thËp_Háa phßng hoµn	3	NgÉu nhiªn_Thu thËp	0	Mang 2 Háa phßng hoµn cho vÖ binh L©m An 
210	NgÉu nhiªn_Thu thËp_§éc phßng hoµn	3	NgÉu nhiªn_Thu thËp	0	Mang 2 §éc phßng hoµn cho vÖ binh L©m An 
211	NgÉu nhiªn_Thu thËp_HuyÒn ThiÕt Nguyªn Kho¸ng	3	NgÉu nhiªn_Thu thËp	0	Mang 3 HuyÒn ThiÕt Nguyªn Kho¸ng cho Thî rÌn Thµnh §« 
212	NgÉu nhiªn_Thu thËp_Khæng T­íc Nguyªn Th¹ch 	3	NgÉu nhiªn_Thu thËp	0	Mang 2 Khæng T­íc Nguyªn Th¹ch cho Thî rÌn Thµnh §« 
213	NgÉu nhiªn_Thu thËp_MËt Ng©n Nguyªn Kho¸ng	3	NgÉu nhiªn_Thu thËp	0	Mang 3 MËt Ng©n Nguyªn Kho¸ng cho Thî rÌn Thµnh §« 
214	NgÉu nhiªn_Thu thËp_Phï Dung Nguyªn Th¹ch 	3	NgÉu nhiªn_Thu thËp	0	Mang 2 Phï Dung Nguyªn Th¹ch cho Thî rÌn Thµnh §« 
215	NgÉu nhiªn_Thu thËp_Chu Sa Nguyªn Kho¸ng	3	NgÉu nhiªn_Thu thËp	0	Mang 3 Chu Sa Nguyªn Kho¸ng cho Thî rÌn Thµnh §« 
216	NgÉu nhiªn_Thu thËp_Chung Nhò Nguyªn Th¹ch 	3	NgÉu nhiªn_Thu thËp	0	Mang 2 Chung Nhò Nguyªn Th¹ch cho Thî rÌn Thµnh §« 
217	NgÉu nhiªn_Thu thËp_S¸t Thñ Gi¶n cÊp 90 (Kim) 	3	NgÉu nhiªn_Thu thËp	0	Thu thËp_S¸t Thñ Gi¶n cÊp 90 (Kim) cho NhiÕp Thİ TrÇn (T­¬ng D­¬ng) 
218	NgÉu nhiªn_Thu thËp__S¸t Thñ Gi¶n cÊp 90 (Méc) 	3	NgÉu nhiªn_Thu thËp	0	Thu thËp_S¸t Thñ Gi¶n cÊp 90 (Méc) cho NhiÕp Thİ TrÇn (T­¬ng D­¬ng) 
219	NgÉu nhiªn_Thu thËp_ S¸t Thñ Gi¶n cÊp 90 (Thñy) 	3	NgÉu nhiªn_Thu thËp	0	Thu thËp_S¸t Thñ Gi¶n cÊp 90 (Thñy) cho NhiÕp Thİ TrÇn (T­¬ng D­¬ng) 
220	NgÉu nhiªn_Thu thËp_ S¸t Thñ Gi¶n cÊp 90 (Háa) 	3	NgÉu nhiªn_Thu thËp	0	Thu thËp_S¸t Thñ Gi¶n cÊp 90 (Háa) cho NhiÕp Thİ TrÇn (T­¬ng D­¬ng) 
221	NgÉu nhiªn_Thu thËp_ S¸t Thñ Gi¶n cÊp 90 (Thæ) 	3	NgÉu nhiªn_Thu thËp	0	Thu thËp_S¸t Thñ Gi¶n cÊp 90 (Thæ) cho NhiÕp Thİ TrÇn (T­¬ng D­¬ng) 
222	NgÉu nhiªn_Thu thËp_Ph¸o Hoa	3	NgÉu nhiªn_Thu thËp	0	Thu thËp_5 ph¸o hoa cho Häc trß thî rÌn (Thµnh §«) 
224	NgÉu nhiªn_Thu thËp_T©m T©m	3	NgÉu nhiªn_Thu thËp	0	Thu thËp_1 T©m T©m T­¬ng ¸nh phï cho NguyÖt L·o (Giang T©n th«n) 
225	NgÉu nhiªn_Thu thËp_Thiªn s¬n  B¶o Lé 	3	NgÉu nhiªn_Thu thËp	0	Thu thËp_1 Thiªn s¬n  B¶o Lé cho Chñ D­îc §iÕm (Long M«n) 
226	NgÉu nhiªn_Thu thËp_B¸ch Qu¶ Lé 	3	NgÉu nhiªn_Thu thËp	0	Thu thËp_1 B¸ch Qu¶ Lé cho Chñ D­îc §iÕm (L©m An) 
227	NgÉu nhiªn_Thu thËp_TiÓu Phóc Duyªn	3	NgÉu nhiªn_Thu thËp	0	Thu thËp_1 TiÓu Phóc Duyªn Lé  cho LÔ Quan (BiÖn Kinh) 
