TaskID	Genre	Detail	Particular	Level	GoodsFive	TaskValue1	TaskValue2	TaskRate1	TaskRate2	TaskRate3	TaskRate4	TaskRate5	TaskRate6	TaskRate7	TaskRate8	TaskRate9	TaskRate10	TaskRate11	TaskRate12	TaskRate13	TaskRate14	TaskRate15	TaskRate16	TaskRate17	TaskRate18	TaskRate19	TaskRate20	TaskInfo	TaskInfo1
1001	0	0	0	3	0	2700	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0	0	0	0	0	0	TiÖm Thî rÌn T­¬ng D­¬ng	Thanh Phong KiÕm (Kim) 
1002	0	6	1	4	4	3700	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0	0	0	0	0	0	TiÖm t¹p hãa T­¬ng D­¬ng	ThiÕt Yªu §¸i (Thæ) 
1003	0	0	2	3	2	3000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0	0	0	0	0	0	TiÖm thî rÌn Thµnh §«	Bµn Hoa C«n (Thñy) 
1004	0	8	0	5	2	1800	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0	0	0	0	0	0	TiÖm t¹p hãa Thµnh §«	Kim Ti Tr¹c (Thñy) 
1005	0	0	1	3	4	2700	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0	0	0	0	0	0	TiÖm thî rÌn BiÖn Kinh	QuØ §Çu §ao (Thæ) 
1006	0	8	1	5	2	1800	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0	0	0	0	0	0	TiÖm t¹p hãa BiÖn Kinh	Ng¹c B× Hé UyÓn (Thñy) 
1007	0	8	0	4	2	1000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0	0	0	0	0	0	TiÖm t¹p hãa Ph­îng T­êng	Ng©n T¬ Tr¹c (Thñy) 
1008	0	0	3	3	1	3000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0	0	0	0	0	0	TiÖm Vò khÝ Ph­îng T­êng	§iÓm Cang Th­¬ng (Méc) 
1009	0	0	5	3	1	2700	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0	0	0	0	0	0	TiÖm vò khÝ §¹i Lý 	NguyÖt Nha ThÝch (M«c) 
1010	0	6	0	5	3	3000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0	0	0	0	0	0	TiÖm t¹p hãa §¹i Lý 	Ng¹c B× Yªu §¸i (Háa) 
1011	0	0	5	3	3	2700	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0	0	0	0	0	0	TiÖm Vò khÝ D­¬ng Ch©u	NguyÖt Nha ThÝch (Háa) 
1012	0	8	1	4	2	1000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0	0	0	0	0	0	TiÖm t¹p hãa D­¬ng Ch©u 	M·ng B× Hé UyÓn (Thñy) 
1013	0	0	2	3	1	3000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0	0	0	0	0	0	TiÖm thî rÌn L©m An	Bµn Hoa C«n (Méc) 
1014	0	5	2	5	1	1600	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0	0	0	0	0	0	TiÖm t¹p hãa L©m An	§o¹n Hµi (Méc) 
1015	0	0	0	3	0	2700	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0	0	0	0	0	0	TiÖm Thî rÌn T­¬ng D­¬ng	Thanh Phong KiÕm (Kim) 
1016	0	6	1	4	4	3700	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0	0	0	0	0	0	TiÖm t¹p hãa T­¬ng D­¬ng	ThiÕt Yªu §¸i (Thæ) 
1017	0	0	2	3	2	3000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0	0	0	0	0	0	TiÖm thî rÌn Thµnh §«	Bµn Hoa C«n (Thñy) 
1018	0	8	0	5	2	1800	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0	0	0	0	0	0	TiÖm t¹p hãa Thµnh §«	Kim Ti Tr¹c (Thñy) 
1019	0	0	1	3	4	2700	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0	0	0	0	0	0	TiÖm thî rÌn BiÖn Kinh	QuØ §Çu §ao (Thæ) 
1020	0	8	1	5	2	1800	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0	0	0	0	0	0	TiÖm t¹p hãa BiÖn Kinh	Ng¹c B× Hé UyÓn (Thñy) 
1021	0	8	0	4	2	1000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0	0	0	0	0	0	TiÖm t¹p hãa Ph­îng T­êng	Ng©n T¬ Tr¹c (Thñy) 
1022	0	0	3	3	1	3000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0	0	0	0	0	0	TiÖm Vò khÝ Ph­îng T­êng	§iÓm Cang Th­¬ng (Méc) 
1023	0	0	5	3	1	2700	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0	0	0	0	0	0	TiÖm vò khÝ §¹i Lý 	NguyÖt Nha ThÝch (M«c) 
1024	0	6	0	5	3	3000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0	0	0	0	0	0	TiÖm t¹p hãa §¹i Lý 	Ng¹c B× Yªu §¸i (Háa) 
1025	0	0	5	3	3	2700	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0	0	0	0	0	0	TiÖm Vò khÝ D­¬ng Ch©u	NguyÖt Nha ThÝch (Háa) 
1026	0	8	1	4	2	1000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0	0	0	0	0	0	TiÖm t¹p hãa D­¬ng Ch©u 	M·ng B× Hé UyÓn (Thñy) 
1027	0	0	2	3	1	3000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0	0	0	0	0	0	TiÖm thî rÌn L©m An	Bµn Hoa C«n (Méc) 
1028	0	5	2	5	1	1600	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0	0	0	0	0	0	TiÖm t¹p hãa L©m An	§o¹n Hµi (Méc) 
1029	0	10	3	3	1	10000	10000	0	1000	2000	3000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	0	0	0	0	0	0	B¸n Ngùa (§¹i Lý) 	H¾c M· cÊp 3 (Méc) 
1030	0	10	2	3	2	10000	10000	0	1000	2000	3000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	0	0	0	0	0	0	B¸n ngùa (Ph­îng T­êng) 	B¹ch M· cÊp 3 (Thñy) 
1031	0	10	3	3	2	10000	10000	0	1000	2000	3000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	0	0	0	0	0	0	B¸n ngùa (T­¬ng D­¬ng) 	H¾c M· cÊp 3 (Thñy) 
1032	0	10	4	3	3	10000	10000	0	1000	2000	3000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	0	0	0	0	0	0	B¸n ngùa (Thµnh §«) 	Hång M· cÊp 3 (Háa) 
1033	0	10	2	3	0	10000	10000	0	1000	2000	3000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	0	0	0	0	0	0	B¸n ngùa (BiÖn Kinh) 	B¹ch M· cÊp 3 (Kim) 
1034	0	10	1	3	1	10000	10000	0	1000	2000	3000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	0	0	0	0	0	0	B¸n ngùa (D­¬ng Ch©u) 	Thanh M· cÊp 3 (Méc) 
1035	0	10	0	3	4	10000	10000	0	1000	2000	3000	5000	5000	5000	5000	5000	5000	5000	5000	5000	5000	0	0	0	0	0	0	B¸n ngùa (L©m An) 	Hoµng M· cÊp 3 (Thæ) 
