Id	BossName	BossInfo
1	Tr¸c L·nh CÇm	trong Phôc L­u ®éng (193,184) . Ta kh«ng tin ng­¬i th¾ng ®­îc h¾n!
2	Tiªu Thiªn Ng¹o	trong Phôc L­u ®éng (177,189) . Ta kh«ng tin ng­¬i th¾ng ®­îc h¾n!
3	Môc Minh KiÖt	trong Phôc L­u ®éng (205,193) . Ta kh«ng tin ng­¬i th¾ng ®­îc h¾n!
4	TÊt V­u Phãng	trong Phôc L­u ®éng (217,190) . Ta kh«ng tin ng­¬i th¾ng ®­îc h¾n!
5	Lôc Cöu U	trong KiÕm C¸c Trung Nguyªn (200,189) . Ta kh«ng tin ng­¬i th¾ng ®­îc h¾n!
6	Bé Hiªu TrÇn	trong KiÕm C¸c Trung Nguyªn (214,196) . Ta kh«ng tin ng­¬i th¾ng ®­îc h¾n!
7	Cèc KiÕm Thu	trong KiÕm C¸c Trung Nguyªn (225,191) . Ta kh«ng tin ng­¬i th¾ng ®­îc h¾n!
8	ThiÖu Hoa Dung	trong KiÕm C¸c Trung Nguyªn (223,171) . Ta kh«ng tin ng­¬i th¾ng ®­îc h¾n!
9	Quan Tö M¹c	Trong B¹ch Thñy ®éng (210,196) . Ta kh«ng tin ng­¬i th¾ng ®­îc h¾n!
10	Bµnh ThÝch H¶i	trong B¹ch Thñy ®éng (200,192) . Ta kh«ng tin ng­¬i th¾ng ®­îc h¾n!
11	BÝch Phï B×nh	trong B¹ch Thñy ®éng (197,199) .. Ta kh«ng tin ng­¬i th¾ng ®­îc h¾n!
12	Tr­îng L·nh s¬n 	trong B¹ch Thñy ®éng ( (199,205) . Ta kh«ng tin ng­¬i th¾ng ®­îc h¾n!
13	Tiªu KiÕm TuyÕt	trong Háa Lang ®éng (189,192) . Ta kh«ng tin ng­¬i th¾ng ®­îc h¾n!
14	Kha ThiÕu Gia	trong Háa Lang ®éng (195,180) . Ta kh«ng tin ng­¬i th¾ng ®­îc h¾n!
15	Ch­ëng B¸t Ph­¬ng	trong Háa Lang ®éng (215,189) . Ta kh«ng tin ng­¬i th¾ng ®­îc h¾n!
16	Méng Êt  Phi	trong Háa Lang ®éng (212,199) . Ta kh«ng tin ng­¬i th¾ng ®­îc h¾n!
17	T­ §å TuyÖt Chñy	trong M·nh Hæ ®éng (224,220) . Ta kh«ng tin ng­¬i th¾ng ®­îc h¾n!
18	Th­îng Quan L·ng	trong M·nh Hæ ®éng (214,207) . Ta kh«ng tin ng­¬i th¾ng ®­îc h¾n!
19	D­¬ng Thanh Èn	trong M·nh Hæ ®éng (203,196) . Ta kh«ng tin ng­¬i th¾ng ®­îc h¾n!
20	Ngôy Chiªm Th©n	trong M·nh Hæ ®éng (213,200) . Ta kh«ng tin ng­¬i th¾ng ®­îc h¾n!
21	§µo §o¹t Thu	trong Kim Quang ®éng (197,187) . Ta kh«ng tin ng­¬i th¾ng ®­îc h¾n!
22	Xµ B¸ §«ng 	trong Kim Quang ®éng (219,203) . Ta kh«ng tin ng­¬i th¾ng ®­îc h¾n!
23	L­¬ng T­ Nam 	trong Kim Quang ®éng (218,185) . Ta kh«ng tin ng­¬i th¾ng ®­îc h¾n!
24	Tr¸c ThÊt Lang	trong Kim Quang ®éng (192,180) . Ta kh«ng tin ng­¬i th¾ng ®­îc h¾n!
25	KiÒu §Ønh Thiªn	trong B¹ch V©n ®éng (215,199) . Ta kh«ng tin ng­¬i th¾ng ®­îc h¾n!
26	Träng V« CÊp 	trong B¹ch V©n ®éng (223,190) . Ta kh«ng tin ng­¬i th¾ng ®­îc h¾n!
27	KhÝ CÇm SÜ 	trong B¹ch V©n ®éng (236,200) . Ta kh«ng tin ng­¬i th¾ng ®­îc h¾n!
28	§inh V¨n Dôc	trong B¹ch V©n ®éng (215,209) . Ta kh«ng tin ng­¬i th¾ng ®­îc h¾n!
29	Phong Ngò Ên	trong YÕn Tö ®éng (171,219) . Ta kh«ng tin ng­¬i th¾ng ®­îc h¾n!
30	Khang  BÊt Hèi	trong YÕn Tö ®éng (180,209) . Ta kh«ng tin ng­¬i th¾ng ®­îc h¾n!
31	Ph­¬ng Dùc Viªm	trong YÕn Tö ®éng (206,204) . Ta kh«ng tin ng­¬i th¾ng ®­îc h¾n!
32	Ninh T©m Cuång	trong YÕn Tö ®éng (202,220) . Ta kh«ng tin ng­¬i th¾ng ®­îc h¾n!
33	H×nh Phô Sinh	trong tÇng 1 D­îc V­¬ng ®éng (196,204) . Ta kh«ng tin ng­¬i th¾ng ®­îc h¾n!
34	Ho¾c TrÊn Phi	trong tÇng 1 D­îc V­¬ng ®éng (194,201) . Ta kh«ng tin ng­¬i th¾ng ®­îc h¾n!
35	Qu¶n V« YÕm	trong tÇng 1 D­îc V­¬ng ®éng (207,204) . Ta kh«ng tin ng­¬i th¾ng ®­îc h¾n!
36	DiÖp VÜnh ¢n	trong tÇng 1 D­îc V­¬ng ®éng (204,199) . Ta kh«ng tin ng­¬i th¾ng ®­îc h¾n!
37	¢u chÝ Phong	trong Vò Di s¬n (156,185) . Ta kh«ng tin ng­¬i th¾ng ®­îc h¾n!
38	§éc C« HiÖp 	trong Vò Di s¬n (114,166) . Ta kh«ng tin ng­¬i th¾ng ®­îc h¾n!
39	H¹ng Phï Nhai	trong Vò Di s¬n (120,169) . Ta kh«ng tin ng­¬i th¾ng ®­îc h¾n!
40	Nghª §¹i Chu	trong Vò Di s¬n (180,198) . Ta kh«ng tin ng­¬i th¾ng ®­îc h¾n!
41	Du Th¸n Giang 	trong Kinh Hoµng ®éng (202,217) . Ta kh«ng tin ng­¬i th¾ng ®­îc h¾n!
42	H¹ Hïng Phi	trong Kinh Hoµng ®éng (180,211) . Ta kh«ng tin ng­¬i th¾ng ®­îc h¾n!
43	Tèng Vò Phong	trong Kinh Hoµng ®éng (200,205) . Ta kh«ng tin ng­¬i th¾ng ®­îc h¾n!
44	Lé Th­îng Nh©n	trong Kinh Hoµng ®éng (219,226) . Ta kh«ng tin ng­¬i th¾ng ®­îc h¾n!
45	NhËm T«ng Hoµnh	trong Phông Nh·n ®éng (220,201) . Ta kh«ng tin ng­¬i th¾ng ®­îc h¾n!
46	Hµn Khanh Long	trong Phông Nh·n ®éng (220,189) . Ta kh«ng tin ng­¬i th¾ng ®­îc h¾n!
47	Tr× PhÈm Ch©n	trong Phông Nh·n ®éng (205,182) . Ta kh«ng tin ng­¬i th¾ng ®­îc h¾n!
48	Chung ThiÕt Thèi	trong Phông Nh·n ®éng (190,183) . Ta kh«ng tin ng­¬i th¾ng ®­îc h¾n!
49	§iªu DÞch §ao	trong ThÇn Tiªn ®éng (212,198) . Ta kh«ng tin ng­¬i th¾ng ®­îc h¾n!
50	§å Tµn Sinh	trong ThÇn Tiªn ®éng (221,192) . Ta kh«ng tin ng­¬i th¾ng ®­îc h¾n!
51	Bµng V« TÜnh	trong ThÇn Tiªn ®éng (233,198) . Ta kh«ng tin ng­¬i th¾ng ®­îc h¾n!
52	Lý Hoa §é	trong ThÇn Tiªn ®éng (221,207) . Ta kh«ng tin ng­¬i th¾ng ®­îc h¾n!
