TASK	SCRIPT
1	\script\两湖区\巴陵县\npc\tw_ontime.lua
2	\script\中原南区\武当派\十方殿\npc\wd_ontime.lua
3	\script\missions\pktimer1.lua
4	\script\missions\宋金战场pk战\宋金战场消息触发器.lua
5	\script\missions\宋金战场pk战\赛程总时间触发器.lua
6	\script\中原南区\稻香村\npc\稻香村_合药记时器.lua
7	\script\江南区\龙泉村\npc\修刀任务记时器.lua
8	\script\西南南区\翠烟门\守玉厅\npc\cy20_ontimer.lua
9	\script\global\洗pk计时器.lua
10	\script\missions\bw\bwtimer.lua
11	\script\missions\bw\bwtotaltimer.lua
12	\script\missions\citywar_city\timer.lua
13	\script\missions\citywar_city\totaltimer.lua
14	\script\missions\hsbattle\timer.lua
15	\script\missions\hsbattle\totaltimer.lua
16	\script\missions\citywar_arena\timer.lua
17	\script\missions\citywar_arena\totaltimer.lua
18	\script\missions\citywar_global\timer.lua
19	\script\missions\autohang\timer.lua
20	\script\missions\clearskill\timer.lua
21	\script\battles\seizeflag\smalltimer.lua
22	\script\battles\seizeflag\totaltimer.lua
23	\script\missions\olympic\timer.lua
24	\script\missions\olympic\tong\timer2.lua
25	\script\missions\olympic\tong\timer.lua
26	\script\battles\singlefight\dt_smalltimer.lua
27	\script\battles\singlefight\dt_timerend.lua
28	\script\missions\fengling_ferry\fld_landingtimer.lua
29	\script\missions\fengling_ferry\fld_smalltimer.lua
30	\script\battles\marshal\smalltimer.lua
31	\script\battles\marshal\totaltimer.lua
32	\script\global\localnews.lua
33	\script\missions\freshman_match\tryout\smalltimer.lua
34	\script\missions\freshman_match\tryout\totaltimer.lua
35	\script\missions\freshman_match\match\smalltimer.lua
36	\script\missions\freshman_match\match\totaltimer.lua
37	\script\missions\dragonboat\timer_match.lua
38	\script\missions\dragonboat\timer_board.lua
39	\script\battles\butcher\smalltimer.lua
40	\script\battles\butcher\totaltimer.lua
41	\script\missions\challengeoftime\timer_match.lua
42	\script\missions\challengeoftime\timer_board.lua
43	\script\missions\challengeoftime\timer_close.lua
44	\script\event\storm\timer_ys.lua
45	\script\missions\citydefence\smalltimer.lua
46	\script\missions\citydefence\totaltimer.lua
47	\script\event\mid_autumn\xingjiaoshang.lua
48	\script\event\mid_autumn\zuofanggongren.lua
49	\script\event\mid_autumn\mooncake_hint.lua
50	\script\missions\leaguematch\glbmission\schedule.lua
51	\script\missions\leaguematch\glbmission\combat.lua
52	\script\missions\newcitydefence\smalltimer.lua
53	\script\missions\newcitydefence\totaltimer.lua
54	\script\missions\chrismas\schedule\ch_preparetimer.lua
55	\script\missions\chrismas\schedule\ch_fairy_smalltimer.lua
56	\script\missions\chrismas\schedule\ch_report_smalltimer.lua
57	\script\missions\springfestival\schedule\festival_preparetimer.lua
58	\script\missions\springfestival\schedule\festival_fairy_smalltimer.lua
59	\script\missions\springfestival\schedule\festival_report_smalltimer.lua
60	\script\missions\statinfo\timer_goodssale.lua
61	\script\missions\tongwar\match\smalltimer.lua
62	\script\missions\tongwar\match\totaltimer.lua
63	\script\missions\finalmatch\glbmission\scheduletimer.lua
64	\script\missions\finalmatch\glbmission\combattimer.lua
65	\script\missions\tong\tong_disciple\schedule\preparetimer.lua
66	\script\missions\tong\tong_disciple\schedule\fairy_smalltimer.lua
67	\script\missions\tong\tong_disciple\schedule\report_smalltimer.lua
68	\script\missions\tong\tong_springfestival\schedule\preparetimer.lua
69	\script\missions\tong\tong_springfestival\schedule\fairy_smalltimer.lua
70	\script\missions\tong\tong_springfestival\schedule\report_smalltimer.lua
71	\script\missions\finalmatch\zonefinal\timer.lua
72	\script\missions\dragonboatfestival_06\schedule\preparetimer.lua
73	\script\missions\dragonboatfestival_06\schedule\fairy_smalltimer.lua
74	\script\missions\dragonboatfestival_06\schedule\report_smalltimer.lua
75	\script\missions\tong\collectgoods\schedule\preparetimer.lua
76	\script\missions\tong\collectgoods\schedule\fairy_smalltimer.lua
77	\script\missions\tong\collectgoods\schedule\report_smalltimer.lua
78	\script\item\crowninghalo.lua
79	\script\missions\jinditask\jinditimer.lua
80	\script\missions\springfestival07\schedule\fairy_smalltimer.lua
81	\script\missions\springfestival07\schedule\report_smalltimer.lua
82	\script\missions\springfestival07\schedule\preparetimer.lua
83	\script\item\springfestival07\xinnian_lihua.lua
84	\script\missions\tong_leitai\battle\demotimer.lua
85	\script\missions\tong_leitai\battle\totaltimer.lua
86	\script\item\shangshilihua.lua
