	586	587	588	589	590	591	593	594	595	596	597
Tæng qu¶n Binh gi¸p ph­êng(198)	1616,3293,	1609,3300,	1608,3302,	1616,3293,	1616,3293,	1608,3299,	1616,3293,	1608,3301,	1616,3293,	1616,3293,	1616,3293,
Tæng qu¶n Thiªn c«ng ph­êng(200)	1630,3279,	1624,3284,	1625,3283,	1630,3279,	1630,3279,	1630,3279,	1630,3279,	1625,3283,	1630,3279,	1630,3279,	1630,3279,
Tæng quan DÞ dung ph­êng(375)	1643,3266,	1642,3267,	1643,3266,	1640,3269,	1643,3266,	1643,3266,	1643,3266,	1639,3270,	1643,3266,	1643,3266,	1643,3266,
Tæng qu¶n Thiªn ý ph­êng(455)	1681,3228,	1684,3224,	1681,3228,	1681,3228,	1681,3228,	1681,3228,	1681,3228,	1681,3228,	1681,3228,	1681,3228,	1681,3228,
Tæng qu¶n ThÝ luyÖn ph­êng(769)	1669,3240,	1669,3240,	1669,3240,	1669,3240,	1669,3240,	1669,3240,	1669,3240,	1669,3240,	1669,3240,	1669,3240,	1669,3240,
Tæng qu¶n LÔ phÈm ph­êng(377)	1692,3216,	1692,3216,	1692,3216,	1692,3216,	1692,3216,	1692,3216,	1692,3216,	1692,3216,	1692,3216,	1692,3216,	1692,3216,
Tæng qu¶n Ho¹t ®éng ph­êng(308)	1706,3203,	1706,3203,	1706,3203,	1706,3203,	1706,3203,	1706,3203,	1706,3203,	1706,3203,	1706,3203,	1706,3203,	1706,3203,
Xa phu(235)	1718,3304,	1718,3309,	1718,3309,	1720,3309,	1714,3306,	1710,3317,	1713,3303,	1712,3301,	1718,3304,	1718,3304,	1718,3304,
R­¬ng chøa ®å(625)	1685,3270,	1685,3270,	1685,3270,	1685,3270,	1685,3270,	1685,3270,	1685,3270,	1685,3270,	1685,3270,	1685,3270,	1685,3270,
TÕ töu(329)	1668,3270,	1668,3270,	1668,3270,	1668,3270,	1668,3270,	1668,3270,	1668,3270,	1668,3270,	1668,3270,	1668,3270,	1668,3270,
Binh gi¸p ph­êng()	1612,3290,	1604,3296,	1605,3296,	1612,3290,	1612,3290,	1605,3297,	1612,3290,	1606,3296,	1612,3290,	1612,3290,	1612,3290,
Thiªn c«ng ph­êng()	1624,3274,	1621,3277,	1621,3277,	1624,3274,	1624,3274,	1624,3274,	1624,3274,	1621,3278,	1624,3274,	1624,3274,	1624,3274,
DÞ dung ph­êng()	1639,3258,	1636,3261,	1639,3258,	1636,3261,	1639,3258,	1637,3260,	1639,3258,	1636,3262,	1639,3258,	1639,3258,	1639,3258,
Thiªn ý ph­êng()	1679,3224,	1681,3219,	1678,3222,	1678,3222,	1678,3222,	1678,3222,	1678,3222,	1678,3222,	1679,3224,	1679,3224,	1679,3224,
ThÝ luyÖn ph­êng()	1665,3236,	1665,3236,	1665,3236,	1665,3236,	1665,3236,	1665,3236,	1665,3236,	1665,3236,	1665,3236,	1665,3236,	1665,3236,
LÔ phÈm ph­êng()	1690,3214,	1690,3214,	1690,3214,	1690,3214,	1690,3214,	1690,3214,	1690,3214,	1690,3214,	1690,3214,	1690,3214,	1690,3214,
Ho¹t ®éng ph­êng()	1702,3203,	1699,3202,	1700,3201,	1700,3201,	1700,3201,	1700,3201,	1700,3201,	1700,3201,	1702,3203,	1702,3203,	1702,3203,
Tæng qu¶n chiÕn khu B¾c()	1661,3143,	1661,3143,	1661,3143,	1661,3143,	1661,3143,	1661,3143,	1661,3143,	1661,3143,	1661,3143,	1661,3143,	1661,3143,
Tæng qu¶n chiÕn khu Nam()	1555,3261,	1555,3261,	1555,3261,	1555,3261,	1555,3261,	1555,3261,	1555,3261,	1555,3261,	1555,3261,	1555,3261,	1555,3261,
Cét biÓu t­ëng ®¼ng cÊp kiÕn thiÕt	1673,3265,	1673,3265,	1673,3265,	1673,3265,	1673,3265,	1673,3265,	1673,3265,	1673,3265,	1673,3265,	1673,3265,	1673,3265,
Cét biÓu t­îng bang héi chiÕm thµnh	1665,3273,	1665,3273,	1665,3273,	1665,3273,	1665,3273,	1665,3273,	1665,3273,	1665,3273,	1665,3273,	1665,3273,	1665,3273,
