×´Ì¬	ÎÄ¼şÃû	ÀàĞÍ	²¥·Å·½Ê½	Ö÷½ÇÉíºó¿ªÊ¼Ö¡	Ö÷½ÇÉíºó½áÊøÖ¡	¶¯»­×ÜÖ¡Êı	¶¯»­×Ü·½ÏòÊı	¶¯»­Ö¡¼ä¸ô	
Tr¹ng th¸i 1	Special	Head	Loop			8	1	1	Cho¸ng
Tr¹ng th¸i 2	Special	Foot	Loop			8	1	1	Tróng ®éc
Tr¹ng th¸i 3	Special	Body	Loop	0	29	8	1	1	®ãng b¨ng 
Tr¹ng th¸i 4	Special	Body	Loop	10	20	8	1	1	®èt 
Tr¹ng th¸i 5	Special	Body				8	1	1	hçn lo¹n
Tr¹ng th¸i 6	\spr\skill\Îå¶¾½Ì\wdu_06_V« H×nh §éc.spr	Foot	Loop	0	0	30	1	1	ÎŞĞÎ¹Æ
Tr¹ng th¸i 7	\spr\skill\Îå¶¾½Ì\wdu_07_§éc thuÉn.spr	Body	Loop	5	15	20	1	1	¶¾¶Ü
Tr¹ng th¸i 8	\spr\skill\Îå¶¾½Ì\wdu_08_B¨ng Lam HuyÒn Tinh.spr	Head	Loop	0	0	30	1	1	±ùÀ¶Ğş¾§
Tr¹ng th¸i 9	\spr\skill\Îå¶¾½Ì\wdu_09_L«i ®éng Cöu Thiªn .spr	Head	Loop	0	0	30	1	1	À×¶¯¾ÅÌì
Tr¹ng th¸i 10	\spr\skill\Îå¶¾½Ì\wdu_10_Xİch DiÖm Thùc Thiªn.spr	Head	Loop	0	0	30	1	1	³àÑæÊ´Ìì
Tr¹ng th¸i 11	\spr\skill\Îå¶¾½Ì\wdu_11_V¹n §éc Thùc T©m.spr	Head	Loop	0	0	30	1	1	Íò¹ÆÊ´ĞÄ
Tr¹ng th¸i 12	\spr\skill\Îå¶¾½Ì\wdu_12_Di Hoa TiÕp Ngäc.spr	Head	Loop	0	0	20	1	1	ÒÆ»¨½ÓÓñ
Tr¹ng th¸i 13	\spr\skill\À¥ÂØ\kl_06_´óÀËÊ´¿Õ.spr	Body	Loop	5	15	20	1	2	§¹i L·ng Thùc Kh«ng
Tr¹ng th¸i 14	\spr\skill\À¥ÂØ\kl_07_DÉn L«i §én §Şa.spr	Body	Loop	7	22	30	1	2	ÒıÀ×¶İµØ
Tr¹ng th¸i 15	\spr\skill\À¥ÂØ\kl_08_LiÖt Háa Hång TrÇn.spr	Body	Loop	7	22	30	1	2	ÁÒ»ğºì³¾
Tr¹ng th¸i 16	\spr\skill\À¥ÂØ\kl_09_Méc Ch©u Binh Gi¶i.spr	Body	Loop	40	40	40	1	2	Ä¾Öé±ø½â
Tr¹ng th¸i 17	\spr\skill\À¥ÂØ\kl_10_Ho¹t BÊt L­u Thñ .spr	Body	Loop	4	12	15	1	2	»¬²»ÁôÊÖ
