--MapId	nX	nY	NpcRes	NpcName	NpcScript
--37	1533	3311	1876	R≠¨ng Th«n B›	\vng_script\activitysys\config\1023\npc_box.lua
--37	1532	3314	1876	R≠¨ng Th«n B›	\vng_script\activitysys\config\1023\npc_box.lua
--37	1528	3311	1876	R≠¨ng Th«n B›	\vng_script\activitysys\config\1023\npc_box.lua
--37	1526	3312	1876	R≠¨ng Th«n B›	\vng_script\activitysys\config\1023\npc_box.lua
--37	1530	3297	1876	R≠¨ng Th«n B›	\vng_script\activitysys\config\1023\npc_box.lua
--37	1527	3303	1876	R≠¨ng Th«n B›	\vng_script\activitysys\config\1023\npc_box.lua
--37	1523	3304	1876	R≠¨ng Th«n B›	\vng_script\activitysys\config\1023\npc_box.lua
--37	1526	3317	1876	R≠¨ng Th«n B›	\vng_script\activitysys\config\1023\npc_box.lua
--37	1535	3320	1876	R≠¨ng Th«n B›	\vng_script\activitysys\config\1023\npc_box.lua
--37	1534	3329	1876	R≠¨ng Th«n B›	\vng_script\activitysys\config\1023\npc_box.lua
--37	1457	3317	1876	R≠¨ng Th«n B›	\vng_script\activitysys\config\1023\npc_box.lua
--37	1463	3311	1876	R≠¨ng Th«n B›	\vng_script\activitysys\config\1023\npc_box.lua
--37	1459	3308	1876	R≠¨ng Th«n B›	\vng_script\activitysys\config\1023\npc_box.lua
--37	1461	3303	1876	R≠¨ng Th«n B›	\vng_script\activitysys\config\1023\npc_box.lua
--37	1464	3310	1876	R≠¨ng Th«n B›	\vng_script\activitysys\config\1023\npc_box.lua
--37	1462	3315	1876	R≠¨ng Th«n B›	\vng_script\activitysys\config\1023\npc_box.lua
--37	1470	3296	1876	R≠¨ng Th«n B›	\vng_script\activitysys\config\1023\npc_box.lua
--37	1470	3311	1876	R≠¨ng Th«n B›	\vng_script\activitysys\config\1023\npc_box.lua
--37	1472	3307	1876	R≠¨ng Th«n B›	\vng_script\activitysys\config\1023\npc_box.lua
--37	1464	3300	1876	R≠¨ng Th«n B›	\vng_script\activitysys\config\1023\npc_box.lua
--37	1630	3462	1876	R≠¨ng Th«n B›	\vng_script\activitysys\config\1023\npc_box.lua
--37	1629	3472	1876	R≠¨ng Th«n B›	\vng_script\activitysys\config\1023\npc_box.lua
--37	1633	3470	1876	R≠¨ng Th«n B›	\vng_script\activitysys\config\1023\npc_box.lua
--37	1631	3463	1876	R≠¨ng Th«n B›	\vng_script\activitysys\config\1023\npc_box.lua
--37	1627	3459	1876	R≠¨ng Th«n B›	\vng_script\activitysys\config\1023\npc_box.lua
--37	1626	3451	1876	R≠¨ng Th«n B›	\vng_script\activitysys\config\1023\npc_box.lua
--37	1621	3454	1876	R≠¨ng Th«n B›	\vng_script\activitysys\config\1023\npc_box.lua
--37	1620	3467	1876	R≠¨ng Th«n B›	\vng_script\activitysys\config\1023\npc_box.lua
--37	1631	3460	1876	R≠¨ng Th«n B›	\vng_script\activitysys\config\1023\npc_box.lua
--37	1618	3455	1876	R≠¨ng Th«n B›	\vng_script\activitysys\config\1023\npc_box.lua
--37	1708	3434	1876	R≠¨ng Th«n B›	\vng_script\activitysys\config\1023\npc_box.lua
--37	1704	3437	1876	R≠¨ng Th«n B›	\vng_script\activitysys\config\1023\npc_box.lua
--37	1707	3442	1876	R≠¨ng Th«n B›	\vng_script\activitysys\config\1023\npc_box.lua
--37	1714	3440	1876	R≠¨ng Th«n B›	\vng_script\activitysys\config\1023\npc_box.lua
--37	1706	3450	1876	R≠¨ng Th«n B›	\vng_script\activitysys\config\1023\npc_box.lua
--37	1698	3444	1876	R≠¨ng Th«n B›	\vng_script\activitysys\config\1023\npc_box.lua
--37	1700	3431	1876	R≠¨ng Th«n B›	\vng_script\activitysys\config\1023\npc_box.lua
--37	1716	3424	1876	R≠¨ng Th«n B›	\vng_script\activitysys\config\1023\npc_box.lua
--37	1722	3442	1876	R≠¨ng Th«n B›	\vng_script\activitysys\config\1023\npc_box.lua
--37	1727	3434	1876	R≠¨ng Th«n B›	\vng_script\activitysys\config\1023\npc_box.lua
